source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[163,182] Y",10,2,0.33333333,1
"[163,182] J",20,9,0.69230769,1
"[163,212] Y",25,2,0.125,1
"[163,212] J",50,15,0.51724138,1
"[163,262] Y",50,1,0.04347826,1
"[163,262] J",100,29,0.56862745,1
"[163,362] Y",100,-2,0.04347826,1
"[163,362] J",200,44,0.47826087,1
"[163,662] Y",250,-6,0.04761905,1
"[163,662] J",500,83,0.32806324,1
"[163,1162] Y",500,-9,0.03529412,1
"[163,1162] J",1000,128,0.2519685,1
"[163,2162] Y",1000,-8,0.01574803,1
"[163,2162] J",2000,-29,0.02897103,1
"[163,10162] Y",5000,-26,0.01042502,1
"[163,100162] Y",50000,-69,0.0027621,1
"[173,192] Y",10,2,0.33333333,1
"[173,192] J",20,12,0.75,1
"[173,222] Y",25,2,0.14285714,1
"[173,222] J",50,13,0.52,1
"[173,272] Y",50,2,0.08333333,1
"[173,272] J",100,28,0.56,1
"[173,372] Y",100,-1,0.02222222,1
"[173,372] J",200,48,0.5106383,1
"[173,672] Y",250,-8,0.06349206,1
"[173,672] J",500,74,0.2890625,1
"[173,1172] Y",500,-11,0.04313725,1
"[173,1172] J",1000,124,0.24505929,1
"[173,2172] Y",1000,-7,0.01380671,1
"[173,2172] J",2000,-30,0.03006012,1
"[173,10172] Y",5000,-24,0.0096231,1
"[173,100172] Y",50000,-69,0.0027621,1
"[193,212] Y",10,1,0.14285714,1
"[193,212] J",20,2,0.25,1
"[193,242] Y",25,-1,0.09090909,1
"[193,242] J",50,9,0.42857143,1
"[193,292] Y",50,-2,0.1,1
"[193,292] J",100,16,0.42105263,1
"[193,392] Y",100,-2,0.04545455,1
"[193,392] J",200,47,0.50537634,1
"[193,692] Y",250,-13,0.1023622,1
"[193,692] J",500,58,0.23387097,1
"[193,1192] Y",500,-11,0.04347826,1
"[193,1192] J",1000,114,0.23076923,1
"[193,2192] Y",1000,-3,0.00589391,1
"[193,2192] J",2000,-36,0.03636364,1
"[193,10192] Y",5000,-30,0.01202887,1
"[193,100192] Y",50000,-71,0.00284216,1
"[229,248] Y",10,0,0.0,1
"[229,248] J",20,10,0.71428571,1
"[229,278] Y",25,1,0.11111111,1
"[229,278] J",50,14,0.63636364,1
"[229,328] Y",50,-2,0.1,1
"[229,328] J",100,28,0.56,1
"[229,428] Y",100,1,0.02439024,1
"[229,428] J",200,50,0.55555556,1
"[229,728] Y",250,-5,0.03937008,1
"[229,728] J",500,63,0.25714286,1
"[229,1228] Y",500,-12,0.046875,1
"[229,1228] J",1000,108,0.21774194,1
"[229,2228] Y",1000,-7,0.01375246,1
"[229,2228] J",2000,-33,0.0330993,1
"[229,10228] Y",5000,-35,0.01402806,1
"[229,100228] Y",50000,-75,0.00300228,1
"[256,275] Y",10,0,0.0,1
"[256,275] J",20,0,0.0,1
"[256,305] Y",25,-3,0.42857143,1
"[256,305] J",50,5,0.33333333,1
"[256,355] Y",50,-3,0.14285714,1
"[256,355] J",100,14,0.36842105,1
"[256,455] Y",100,-2,0.04545455,1
"[256,455] J",200,41,0.47126437,1
"[256,755] Y",250,-3,0.02362205,1
"[256,755] J",500,65,0.26530612,1
"[256,1255] Y",500,-16,0.0610687,1
"[256,1255] J",1000,78,0.15537849,1
"[256,2255] Y",1000,-8,0.0155642,1
"[256,2255] J",2000,-34,0.03393214,1
"[256,10255] Y",5000,-34,0.01361089,1
"[256,100255] Y",50000,-78,0.003122,1
"[326,345] Y",10,-2,0.5,1
"[326,345] J",20,-2,0.5,1
"[326,375] Y",25,3,0.23076923,1
"[326,375] J",50,10,0.5,1
"[326,425] Y",50,5,0.23809524,1
"[326,425] J",100,24,0.6,1
"[326,525] Y",100,8,0.14285714,1
"[326,525] J",200,48,0.5,1
"[326,825] Y",250,-2,0.015625,1
"[326,825] J",500,63,0.25925926,1
"[326,1325] Y",500,-14,0.05343511,1
"[326,1325] J",1000,43,0.08514851,1
"[326,2325] Y",1000,-7,0.01364522,1
"[326,2325] J",2000,-26,0.02579365,1
"[326,10325] Y",5000,-31,0.01242485,1
"[326,100325] Y",50000,-76,0.00304292,1
"[346,365] Y",10,4,0.66666667,1
"[346,365] J",20,6,0.75,1
"[346,395] Y",25,4,0.33333333,1
"[346,395] J",50,21,0.72413793,1
"[346,445] Y",50,5,0.2173913,1
"[346,445] J",100,26,0.59090909,1
"[346,545] Y",100,6,0.10344828,1
"[346,545] J",200,54,0.50943396,1
"[346,845] Y",250,-3,0.02325581,1
"[346,845] J",500,64,0.2601626,1
"[346,1345] Y",500,-11,0.0418251,1
"[346,1345] J",1000,46,0.09090909,1
"[346,2345] Y",1000,-4,0.0077821,1
"[346,2345] J",2000,-23,0.02279485,1
"[346,10345] Y",5000,-32,0.01282051,1
"[346,100345] Y",50000,-72,0.00288254,1
"[357,376] Y",10,2,0.33333333,1
"[357,376] J",20,10,0.71428571,1
"[357,406] Y",25,1,0.11111111,1
"[357,406] J",50,20,0.71428571,1
"[357,456] Y",50,1,0.04347826,1
"[357,456] J",100,28,0.56,1
"[357,556] Y",100,4,0.06896552,1
"[357,556] J",200,58,0.51785714,1
"[357,856] Y",250,-6,0.046875,1
"[357,856] J",500,67,0.26693227,1
"[357,1356] Y",500,-16,0.06060606,1
"[357,1356] J",1000,41,0.08086785,1
"[357,2356] Y",1000,-7,0.01364522,1
"[357,2356] J",2000,-26,0.02579365,1
"[357,10356] Y",5000,-35,0.01402806,1
"[357,100356] Y",50000,-77,0.00308284,1
"[386,405] Y",10,0,0.0,1
"[386,405] J",20,7,0.77777778,1
"[386,435] Y",25,4,0.4,1
"[386,435] J",50,11,0.64705882,1
"[386,485] Y",50,1,0.03703704,1
"[386,485] J",100,29,0.52727273,1
"[386,585] Y",100,4,0.07142857,1
"[386,585] J",200,55,0.51401869,1
"[386,885] Y",250,-8,0.06349206,1
"[386,885] J",500,67,0.26693227,1
"[386,1385] Y",500,-16,0.06015038,1
"[386,1385] J",1000,21,0.04158416,1
"[386,2385] Y",1000,-4,0.0077821,1
"[386,2385] J",2000,-35,0.03510532,1
"[386,10385] Y",5000,-41,0.01643287,1
"[386,100385] Y",50000,-78,0.00312275,1
"[458,477] Y",10,0,0.0,1
"[458,477] J",20,10,0.625,1
"[458,507] Y",25,4,0.22222222,1
"[458,507] J",50,17,0.5483871,1
"[458,557] Y",50,1,0.02857143,1
"[458,557] J",100,28,0.4516129,1
"[458,657] Y",100,-5,0.0877193,1
"[458,657] J",200,15,0.13761468,1
"[458,957] Y",250,-2,0.01538462,1
"[458,957] J",500,65,0.26315789,1
"[458,1457] Y",500,-21,0.07749077,1
"[458,1457] J",1000,-28,0.05343511,1
"[458,2457] Y",1000,-7,0.01364522,1
"[458,2457] J",2000,-81,0.0802775,1
"[458,10457] Y",5000,-41,0.01638034,1
"[458,100457] Y",50000,-78,0.0031225,1
"[512,531] Y",10,0,0.0,1
"[512,531] J",20,1,0.14285714,1
"[512,561] Y",25,-4,0.25,1
"[512,561] J",50,12,0.375,1
"[512,611] Y",50,-7,0.28,1
"[512,611] J",100,16,0.33333333,1
"[512,711] Y",100,-13,0.24528302,1
"[512,711] J",200,-15,0.14851485,1
"[512,1011] Y",250,-8,0.06451613,1
"[512,1011] J",500,71,0.28063241,1
"[512,1511] Y",500,-30,0.11363636,1
"[512,1511] J",1000,-50,0.09920635,1
"[512,2511] Y",1000,-14,0.02734375,1
"[512,2511] J",2000,-122,0.12007874,1
"[512,10511] Y",5000,-46,0.01842949,1
"[512,100511] Y",50000,-82,0.00328341,1
"[714,733] Y",10,4,0.66666667,1
"[714,733] J",20,6,0.75,1
"[714,763] Y",25,4,0.33333333,1
"[714,763] J",50,21,0.72413793,1
"[714,813] Y",50,2,0.08333333,1
"[714,813] J",100,29,0.56862745,1
"[714,913] Y",100,-2,0.04347826,1
"[714,913] J",200,54,0.52941176,1
"[714,1213] Y",250,-5,0.03875969,1
"[714,1213] J",500,49,0.19678715,1
"[714,1713] Y",500,-14,0.05691057,1
"[714,1713] J",1000,-55,0.11156187,1
"[714,2713] Y",1000,-5,0.01006036,1
"[714,2713] J",2000,-60,0.05976096,1
"[714,10713] Y",5000,-33,0.01323706,1
"[714,100713] Y",50000,-74,0.00296403,1
"[961,980] Y",10,-1,0.2,1
"[961,980] J",20,9,0.6,1
"[961,1010] Y",25,1,0.07692308,1
"[961,1010] J",50,26,0.68421053,1
"[961,1060] Y",50,-2,0.09090909,1
"[961,1060] J",100,29,0.54716981,1
"[961,1160] Y",100,-6,0.10714286,1
"[961,1160] J",200,-8,0.06666667,1
"[961,1460] Y",250,-20,0.14084507,1
"[961,1460] J",500,-94,0.3381295,1
"[961,1960] Y",500,-12,0.04761905,1
"[961,1960] J",1000,-127,0.24853229,1
"[961,2960] Y",1000,-17,0.03420523,1
"[961,2960] J",2000,-181,0.18081918,1
"[961,10960] Y",5000,-27,0.01082164,1
"[961,100960] Y",50000,-75,0.00300372,1
"[1000,1019] Y",10,0,0.0,1
"[1000,1019] J",20,10,0.71428571,1
"[1000,1049] Y",25,-1,0.11111111,1
"[1000,1049] J",50,11,0.52380952,1
"[1000,1099] Y",50,-9,0.36,1
"[1000,1099] J",100,-2,0.04761905,1
"[1000,1199] Y",100,-10,0.17857143,1
"[1000,1199] J",200,-31,0.30693069,1
"[1000,1499] Y",250,-22,0.15714286,1
"[1000,1499] J",500,-115,0.44747082,1
"[1000,1999] Y",500,-11,0.04347826,1
"[1000,1999] J",1000,-145,0.29411765,1
"[1000,2999] Y",1000,-21,0.04225352,1
"[1000,2999] J",2000,-204,0.20773931,1
"[1000,10999] Y",5000,-28,0.01122694,1
"[1000,100999] Y",50000,-77,0.00308382,1
"[1024,1043] Y",10,-1,0.33333333,1
"[1024,1043] J",20,-1,0.33333333,1
"[1024,1073] Y",25,-6,0.42857143,1
"[1024,1073] J",50,-6,0.42857143,1
"[1024,1123] Y",50,-7,0.24137931,1
"[1024,1123] J",100,-24,0.52173913,1
"[1024,1223] Y",100,-10,0.16666667,1
"[1024,1223] J",200,-43,0.46236559,1
"[1024,1523] Y",250,-20,0.14084507,1
"[1024,1523] J",500,-126,0.50806452,1
"[1024,2023] Y",500,-10,0.03937008,1
"[1024,2023] J",1000,-156,0.32365145,1
"[1024,3023] Y",1000,-25,0.0501002,1
"[1024,3023] J",2000,-220,0.22633745,1
"[1024,11023] Y",5000,-25,0.01001201,1
"[1024,101023] Y",50000,-77,0.00308358,1
"[2048,2067] Y",10,-2,0.25,1
"[2048,2067] J",20,-12,0.66666667,1
"[2048,2097] Y",25,0,0.0,1
"[2048,2097] J",50,-25,0.6097561,1
"[2048,2147] Y",50,1,0.03030303,1
