source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[524288,524337] J",50,-4,0.33333333,1
"[524288,524387] Y",50,-5,0.2173913,1
"[524288,524387] J",100,-5,0.2173913,1
"[524288,524487] Y",100,-5,0.10638298,1
"[524288,524487] J",200,-5,0.10638298,1
"[524288,524787] Y",250,-9,0.07692308,1
"[524288,524787] J",500,-9,0.07692308,1
"[524288,525287] Y",500,-27,0.11790393,1
"[524288,525287] J",1000,-27,0.11790393,1
"[524288,526287] Y",1000,-42,0.09012876,1
"[524288,526287] J",2000,-373,0.46800502,1
"[524288,534287] Y",5000,-45,0.01790688,1
"[524288,624287] Y",50000,-69,0.00275372,1
"[999901,1000000] Y",50,0,0.0,1
"[999901,1000000] J",100,-49,0.75384615,1
"[1,20] J2",20,-7,0.63636364,2
"[37,56] J2",20,2,0.5,2
"[163,182] J2",20,-4,0.66666667,2
"[173,192] J2",20,2,1.0,2
"[1,50] J2",50,1,0.04347826,2
"[37,86] J2",50,12,0.85714286,2
"[163,212] J2",50,-14,0.63636364,2
"[173,222] J2",50,-15,0.65217391,2
"[1,100] J2",100,21,0.46666667,2
"[37,136] J2",100,7,0.17073171,2
"[163,262] J2",100,-16,0.4,2
"[173,272] J2",100,-14,0.38888889,2
"[1,200] J2",200,-7,0.08045977,2
"[37,236] J2",200,-23,0.25842697,2
"[163,362] J2",200,-15,0.2238806,2
"[173,372] J2",200,-10,0.15625,2
"[1,500] J2",500,-33,0.18644068,2
"[37,536] J2",500,-41,0.24848485,2
"[163,662] J2",500,-67,0.40606061,2
"[173,672] J2",500,-72,0.42857143,2
"[1,1000] J2",1000,-159,0.38498789,2
"[37,1036] J2",1000,-169,0.41320293,2
"[163,1162] J2",1000,-163,0.35824176,2
"[173,1172] J2",1000,-167,0.36383442,2
