n,trajectory_step,observed_Z,predicted_Z,vertical_error,branch,exact_state_reference
761,9,0.835237,0.462665,0.372572,O,588898882501966523790623424663381470391991171341729382743209940518051015943822566881901126952293185882460586564
761,10,0.730763,0.482381,0.248381,E,24267238872644051257151374832388125429765060912613024042
761,11,0.626288,0.502098,0.124191,E,4926178932260180422642804743
761,12,0.687402,0.521815,0.165587,O,345752456070154933186423890661063343498558
761,13,0.582928,0.541531,0.041397,E,588007190491880748043
761,14,0.644041,0.561248,0.082794,O,14258503788949218561575759373796
761,15,0.539567,0.580964,-0.041397,E,3776043404007588
761,16,0.435093,0.600681,-0.165588,E,61449519
761,17,0.496207,0.620397,-0.124191,O,481701203809
761,18,0.55732,0.640114,-0.082794,O,334323263462417262
761,19,0.452846,0.65983,-0.206984,E,578206938
761,20,0.348371,0.679547,-0.331176,E,24045
761,21,0.409485,0.699263,-0.289779,O,3728525
761,22,0.470598,0.71898,-0.248382,O,7199553927
761,23,0.531711,0.738696,-0.206985,O,610883484000790
761,24,0.427237,0.758413,-0.331176,E,24716057
761,25,0.488351,0.77813,-0.289779,O,122876485767
761,26,0.549464,0.797846,-0.248382,O,43072806815902859
761,27,0.610578,0.817563,-0.206985,O,8939325679330342943399793
761,28,0.671691,0.837279,-0.165588,O,26727426246994893466069374960911394494
761,29,0.567217,0.856996,-0.289779,E,5169857468731115169
761,30,0.62833,0.876712,-0.248382,O,11754870658709375576163987131
761,31,0.689444,0.896429,-0.206985,O,1274461681384197581318619022612988598111307
761,32,0.750557,0.916145,-0.165588,O,1438766023604802893193875010795462061834531808168933612066538372
761,33,0.646083,0.935862,-0.289779,E,37931069370699303989770246552969
761,34,0.707197,0.955578,-0.248382,O,233610645839522841783959980525621015209835751176
761,35,0.602722,0.975295,-0.372573,E,483332852017657539429627
761,36,0.663836,0.995012,-0.331176,O,336023361859415213232873436858817223
761,37,0.724949,1.014728,-0.289779,O,194784416552241306939592602056096416456918175808940255
761,38,0.786063,1.034445,-0.248382,O,85966909312641029769764750459649567806989099178567304391623331434726057744092572
761,39,0.681589,1.054161,-0.372573,E,9271834193547737821289614046206362883386
761,40,0.577115,1.073878,-0.496763,E,96290363970377315327
761,41,0.638228,1.093594,-0.455366,O,944874747873865822431597634521
761,42,0.699341,1.113311,-0.413969,O,918462361577196979626897515419844274185755721
761,43,0.760455,1.133027,-0.372573,O,27835052549571882936239885953067878727270492018094858421738610410305
761,44,0.821568,1.152744,-0.331176,O,146854773679021132488447843800312042283761002754962921100002211773514119613004932147514526422511683222
761,45,0.717094,1.17246,-0.455366,E,383216353616362688348720964175359077747919910463415
761,46,0.778208,1.192177,-0.413969,O,7501809840327244265611120930717974235303579810411375001815988087252926412985
761,47,0.839321,1.211894,-0.372573,O,649754172176213016535429916497639092745383272833435379588876626599760088909932460230781855417554275906540617282169
761,48,0.900434,1.23161,-0.331176,O,523749492658051409333182730839572125205724799587599514226137198060167208493152499578850031799933908833939965578372687281561166169135869793804266825069393056824500636651583
761,49,0.961548,1.251327,-0.289779,O,11986307718463031741056827050977981267870246529113307039126033359119925741719205025763602922516019092075566521972510765939208897103291873953039957492676896621570138635311245731202318151807665682479840140824238104215892354513024844489482216531801853394084822
761,50,0.857074,1.229646,-0.372572,E,109481997234536380835515418647122673157043953882591857596314593639529704478892954212365941176077152316006836704115037760677519230
761,51,0.7526,1.207966,-0.455366,E,10463364527461345252829046314502676242782343199883421237238156774
761,52,0.648126,1.186286,-0.53816,E,102290588655366263137152498605967
761,53,0.709239,1.164605,-0.455366,O,1034554839933436908662396509559128070935432680043
761,54,0.770352,1.142925,-0.372572,O,1052277477875922280550711435466091136317017992484074827153439951311253703
761,55,0.831466,1.121245,-0.289779,O,1079432308502910547915175466630455545572140297921596950935715486648656451883226238854180898156761622250495202
761,56,0.726992,1.099564,-0.372572,E,1038957317940881798530091543609214396619855150217517756
761,57,0.622518,1.077884,-0.455366,E,1019292557581424607220023568
761,58,0.518044,1.056204,-0.53816,E,31926361483598
761,59,0.41357,1.034523,-0.620954,E,5650341
761,60,0.474683,1.012843,-0.53816,O,13431112526
761,61,0.370209,0.991163,-0.620954,E,115892
761,62,0.265702,0.969482,-0.70378,E,340
2183,0,0.265296,0.265296,0.0,,2183
2183,1,0.318033,0.28231,0.035723,O,101995
2183,2,0.37077,0.299324,0.071446,O,32573792
2183,3,0.280615,0.316338,-0.035723,E,5707
2183,4,0.333352,0.333352,-1e-06,O,431133
2183,5,0.386089,0.350366,0.035722,O,283085027
2183,6,0.438826,0.367381,0.071445,O,4762942611531
2183,7,0.491562,0.384395,0.107168,O,10394725451907836106
2183,8,0.401408,0.401409,-1e-06,E,3224085211
2183,9,0.454145,0.418423,0.035722,O,183066874634985
2183,10,0.506882,0.435437,0.071445,O,2476935233206379472839
2183,11,0.559619,0.452451,0.107168,O,123274138522844019183210342137965
2183,12,0.612356,0.469465,0.142891,O,1368699045371341821356362389314280034173574966091
2183,13,0.665093,0.486479,0.178613,O,1601260337570214789323973544633995418887898888801724675229142005040879895
2183,14,0.717829,0.503493,0.214336,O,2026249495769222909104271069426930676845173186152561410742265602253010769007698051176251489951201644056410795
2183,15,0.770566,0.520507,0.250059,O,2884293024685219301706853967967557884134242370388343544570210697148384281289512979218199225255290013934342343023528816392892148837338615534716771283718551599178665
2183,16,0.823303,0.537521,0.285782,O,4898454399776989391119078884342238011597999090985855214294561386144471562559203061159172210282117708203592680277079222085164267600202728914843147085590115847824409957175544299617240499760375810632357839569735295432285546341543870037850949624370
2183,17,0.733149,0.554535,0.178613,E,69988959127686628220996999383110775115710288708998212967648812410753610218151125438173401051498637620050581140848590685881
2183,18,0.785886,0.57155,0.214336,O,585523462189883937908062612859057026360770224631561777971350231322860305358382675335528057585148964560981582659396751279290456649620937566221509409093733519071130299118668929092621645
2183,19,0.838623,0.588564,0.250059,O,14168257887950095435825146013522265843950656103734187081880992339600755344828511517023499763103439783207249339956537587226350670851642920065500019737809736878701638226596191481549102779358686734455412019122599352531104432163269484475611186656729969971193481079980441406393577
2183,20,0.89136,0.605578,0.285782,O,1686454698983667580165933399210983247084171474533147025752219203080106130437567458559978631111062294801792760744271893593449372965001593810914361736013116032286466635652480874942922890149623751332491505684741079685096308103383954683454074073439682305392845887172350185604339472520762982994373241428844321114698561408578411704407859871563128432556414453982045696275322204519352701640661433447652161511195143246310
2183,21,0.801205,0.622592,0.178613,E,41066466843200275246221932317070527871675382646724365114282696578987157149841713346712909954506300027040015783875880272250619115366145081393708545951322692178749593199827500549620603294855821958329413465775
2183,22,0.853942,0.639606,0.214336,O,263166745578486959427286823270540160099470438101189221976779124656376262426471927275378930411233726696584626538665022702333090803656977505895856589224228652495392209392618650871652808690144852753481216492929216963955580957860412809321750394584196231807683141474686559282002563545900794574334255644406461276691
2183,23,0.906679,0.65662,0.250059,O,4269200137826369318442808574373196933629638051992754996553948669210281916750186861364582570504681519665753122618654397173744717219647345859566148958013955963932750289311558711954549635824644632438641931937398872203659931701135494044145205298969558604963672753615162362854138330491560732754093855856853204061597997197589564846341568379131460621552630837110035799786490995771047129780749040274744005852327942102630116661079595152448433174790713077280800281878498183
2183,24,0.959416,0.673634,0.285782,O,8821039608458112240126590947598136078865257289820677859621798388304087144567156145850293713395076541132892950080805564143403982000832890313451138467771905952757959424407234151691980382483493171623058597817793230559769453564799646873557909846165917243133030136414821139499192738060756626790067480988524645765971555539711574808979021750281561964679903187317101252107757910959470493895678625120529089135338937702228732680482312587362948025621632144283713782503480387237455830522789387744293135463432328229148621585157490135787553985881454284768681287102835140989583133036658234379477019747598345173215678367870201261384831684023815720675667964668751917124805814885163978211755190111796825924735501
2183,25,1.012153,0.690648,0.321505,O,828475477916977932427150293107830700784706171778744245867123627369399113446241091920854367509076780111775563283456207037633869433187837069094248467257826553223292828059558076109946328122099961038425642186913684065394150006566198377058566858863646848533648157797215601359003197584925454902134879831295395271260283088251901957291444884139864504159346217110995817417002985653339610622139904750327367559588383178616169646440943701470132748301920117066573091936299929254813726387892403900029431745494950710037242532660450950696457293510693888746756855403761830916488599295839504038828145076994469367071043177748671697436891239290883686448310026118491828584250773210912642332984168776992878264053509623393863529444820189822514260428671252520654389282468824652892849045895794848493197152957098175124623905283083931024866964195434508991400562868207138916368310800575567476431475895042780911442999325397851884703729908890087944968469534205690632248817256885711450236691321165931077201828000297745080550364510757613056724812009139806961994430263971489
2183,26,1.06489,0.707662,0.357227,O,bits=5187
2183,27,1.117626,0.724676,0.39295,O,bits=7781
2183,28,1.170363,0.74169,0.428673,O,bits=11671
2183,29,1.080209,0.758704,0.321505,E,bits=5836
2183,30,1.132946,0.775719,0.357227,O,bits=8753
2183,31,1.185683,0.792733,0.39295,O,bits=13130
2183,32,1.23842,0.809747,0.428673,O,bits=19694
2183,33,1.148265,0.791038,0.357227,E,bits=9847
2183,34,1.058111,0.772329,0.285782,E,bits=4924
