n,parity,word2,T,T2,one_step,two_step,leftover,odd_odd
74,even,EE,8,2,1,1,0,0
75,odd,OO,649,16533,0,0,1,1
76,even,EE,8,2,1,1,0,0
77,odd,OO,675,17537,0,0,1,1
78,even,EE,8,2,1,1,0,0
79,odd,OE,702,26,0,1,0,0
80,even,EE,8,2,1,1,0,0
81,odd,OO,729,19683,0,0,1,1
82,even,EO,9,27,1,1,0,0
83,odd,OE,756,27,0,1,0,0
84,even,EO,9,27,1,1,0,0
85,odd,OO,783,21910,0,0,1,1
86,even,EO,9,27,1,1,0,0
87,odd,OO,811,23095,0,0,1,1
88,even,EO,9,27,1,1,0,0
89,odd,OO,839,24302,0,0,1,1
90,even,EO,9,27,1,1,0,0
91,odd,OE,868,29,0,1,0,0
92,even,EO,9,27,1,1,0,0
93,odd,OE,896,29,0,1,0,0
94,even,EO,9,27,1,1,0,0
95,odd,OO,925,28132,0,0,1,1
96,even,EO,9,27,1,1,0,0
97,odd,OO,955,29512,0,0,1,1
98,even,EO,9,27,1,1,0,0
99,odd,OO,985,30913,0,0,1,1
100,even,EE,10,3,1,1,0,0
101,odd,OO,1015,32336,0,0,1,1
102,even,EE,10,3,1,1,0,0
103,odd,OO,1045,33781,0,0,1,1
104,even,EE,10,3,1,1,0,0
105,odd,OO,1075,35246,0,0,1,1
106,even,EE,10,3,1,1,0,0
107,odd,OE,1106,33,0,1,0,0
108,even,EE,10,3,1,1,0,0
109,odd,OO,1137,38338,0,0,1,1
110,even,EE,10,3,1,1,0,0
111,odd,OO,1169,39968,0,0,1,1
112,even,EE,10,3,1,1,0,0
113,odd,OO,1201,41621,0,0,1,1
114,even,EE,10,3,1,1,0,0
115,odd,OO,1233,43295,0,0,1,1
116,even,EE,10,3,1,1,0,0
117,odd,OO,1265,44992,0,0,1,1
118,even,EE,10,3,1,1,0,0
119,odd,OE,1298,36,0,1,0,0
120,even,EE,10,3,1,1,0,0
121,odd,OO,1331,48558,0,0,1,1
122,even,EO,11,36,1,1,0,0
123,odd,OE,1364,36,0,1,0,0
124,even,EO,11,36,1,1,0,0
125,odd,OO,1397,52214,0,0,1,1
126,even,EO,11,36,1,1,0,0
127,odd,OO,1431,54132,0,0,1,1
128,even,EO,11,36,1,1,0,0
129,odd,OO,1465,56073,0,0,1,1
130,even,EO,11,36,1,1,0,0
131,odd,OO,1499,58036,0,0,1,1
132,even,EO,11,36,1,1,0,0
133,odd,OO,1533,60022,0,0,1,1
134,even,EO,11,36,1,1,0,0
135,odd,OE,1568,39,0,1,0,0
136,even,EO,11,36,1,1,0,0
137,odd,OO,1603,64180,0,0,1,1
138,even,EO,11,36,1,1,0,0
139,odd,OE,1638,40,0,1,0,0
140,even,EO,11,36,1,1,0,0
141,odd,OE,1674,40,0,1,0,0
142,even,EO,11,36,1,1,0,0
143,odd,OE,1710,41,0,1,0,0
144,even,EE,12,3,1,1,0,0
145,odd,OE,1746,41,0,1,0,0
146,even,EE,12,3,1,1,0,0
147,odd,OE,1782,42,0,1,0,0
148,even,EE,12,3,1,1,0,0
149,odd,OE,1818,42,0,1,0,0
150,even,EE,12,3,1,1,0,0
151,odd,OO,1855,79894,0,0,1,1
152,even,EE,12,3,1,1,0,0
153,odd,OE,1892,43,0,1,0,0
154,even,EE,12,3,1,1,0,0
155,odd,OO,1929,84722,0,0,1,1
156,even,EE,12,3,1,1,0,0
157,odd,OO,1967,87238,0,0,1,1
158,even,EE,12,3,1,1,0,0
159,odd,OE,2004,44,0,1,0,0
160,even,EE,12,3,1,1,0,0
161,odd,OE,2042,45,0,1,0,0
162,even,EE,12,3,1,1,0,0
163,odd,OO,2081,94931,0,0,1,1
164,even,EE,12,3,1,1,0,0
165,odd,OO,2119,97543,0,0,1,1
166,even,EE,12,3,1,1,0,0
167,odd,OE,2158,46,0,1,0,0
168,even,EE,12,3,1,1,0,0
169,odd,OO,2197,102978,0,0,1,1
170,even,EO,13,46,1,1,0,0
171,odd,OE,2236,47,0,1,0,0
172,even,EO,13,46,1,1,0,0
173,odd,OO,2275,108510,0,0,1,1
174,even,EO,13,46,1,1,0,0
175,odd,OO,2315,111384,0,0,1,1
176,even,EO,13,46,1,1,0,0
177,odd,OE,2354,48,0,1,0,0
178,even,EO,13,46,1,1,0,0
179,odd,OE,2394,48,0,1,0,0
180,even,EO,13,46,1,1,0,0
181,odd,OO,2435,120156,0,0,1,1
182,even,EO,13,46,1,1,0,0
183,odd,OO,2475,123129,0,0,1,1
184,even,EO,13,46,1,1,0,0
185,odd,OE,2516,50,0,1,0,0
186,even,EO,13,46,1,1,0,0
187,odd,OO,2557,129299,0,0,1,1
188,even,EO,13,46,1,1,0,0
189,odd,OE,2598,50,0,1,0,0
190,even,EO,13,46,1,1,0,0
191,odd,OO,2639,135568,0,0,1,1
192,even,EO,13,46,1,1,0,0
193,odd,OO,2681,138817,0,0,1,1
194,even,EO,13,46,1,1,0,0
195,odd,OO,2723,142092,0,0,1,1
196,even,EE,14,3,1,1,0,0
197,odd,OO,2765,145392,0,0,1,1
198,even,EE,14,3,1,1,0,0
199,odd,OO,2807,148718,0,0,1,1
200,even,EE,14,3,1,1,0,0
201,odd,OO,2849,152068,0,0,1,1
202,even,EE,14,3,1,1,0,0
203,odd,OE,2892,53,0,1,0,0
204,even,EE,14,3,1,1,0,0
205,odd,OO,2935,159005,0,0,1,1
206,even,EE,14,3,1,1,0,0
207,odd,OE,2978,54,0,1,0,0
208,even,EE,14,3,1,1,0,0
209,odd,OO,3021,166045,0,0,1,1
210,even,EE,14,3,1,1,0,0
211,odd,OE,3064,55,0,1,0,0
212,even,EE,14,3,1,1,0,0
213,odd,OE,3108,55,0,1,0,0
214,even,EE,14,3,1,1,0,0
215,odd,OE,3152,56,0,1,0,0
216,even,EE,14,3,1,1,0,0
217,odd,OE,3196,56,0,1,0,0
218,even,EE,14,3,1,1,0,0
219,odd,OE,3240,56,0,1,0,0
220,even,EE,14,3,1,1,0,0
221,odd,OO,3285,188279,0,0,1,1
222,even,EE,14,3,1,1,0,0
223,odd,OE,3330,57,0,1,0,0
224,even,EE,14,3,1,1,0,0
225,odd,OO,3375,196069,0,0,1,1
226,even,EO,15,58,1,1,0,0
227,odd,OE,3420,58,0,1,0,0
228,even,EO,15,58,1,1,0,0
229,odd,OO,3465,203964,0,0,1,1
230,even,EO,15,58,1,1,0,0
231,odd,OE,3510,59,0,1,0,0
232,even,EO,15,58,1,1,0,0
233,odd,OE,3556,59,0,1,0,0
234,even,EO,15,58,1,1,0,0
235,odd,OE,3602,60,0,1,0,0
236,even,EO,15,58,1,1,0,0
237,odd,OE,3648,60,0,1,0,0
238,even,EO,15,58,1,1,0,0
239,odd,OE,3694,60,0,1,0,0
240,even,EO,15,58,1,1,0,0
241,odd,OO,3741,228813,0,0,1,1
242,even,EO,15,58,1,1,0,0
243,odd,OO,3787,233046,0,0,1,1
244,even,EO,15,58,1,1,0,0
245,odd,OE,3834,61,0,1,0,0
246,even,EO,15,58,1,1,0,0
247,odd,OO,3881,241777,0,0,1,1
248,even,EO,15,58,1,1,0,0
249,odd,OO,3929,246276,0,0,1,1
250,even,EO,15,58,1,1,0,0
251,odd,OE,3976,63,0,1,0,0
252,even,EO,15,58,1,1,0,0
253,odd,OE,4024,63,0,1,0,0
254,even,EO,15,58,1,1,0,0
255,odd,OE,4072,63,0,1,0,0
256,even,EE,16,4,1,1,0,0
257,odd,OE,4120,64,0,1,0,0
258,even,EE,16,4,1,1,0,0
259,odd,OE,4168,64,0,1,0,0
260,even,EE,16,4,1,1,0,0
261,odd,OE,4216,64,0,1,0,0
262,even,EE,16,4,1,1,0,0
263,odd,OO,4265,278534,0,0,1,1
264,even,EE,16,4,1,1,0,0
265,odd,OO,4313,283249,0,0,1,1
266,even,EE,16,4,1,1,0,0
267,odd,OE,4362,66,0,1,0,0
268,even,EE,16,4,1,1,0,0
269,odd,OO,4411,292958,0,0,1,1
270,even,EE,16,4,1,1,0,0
271,odd,OO,4461,297953,0,0,1,1
272,even,EE,16,4,1,1,0,0
273,odd,OE,4510,67,0,1,0,0
274,even,EE,16,4,1,1,0,0
275,odd,OE,4560,67,0,1,0,0
276,even,EE,16,4,1,1,0,0
277,odd,OE,4610,67,0,1,0,0
278,even,EE,16,4,1,1,0,0
279,odd,OE,4660,68,0,1,0,0
280,even,EE,16,4,1,1,0,0
281,odd,OE,4710,68,0,1,0,0
282,even,EE,16,4,1,1,0,0
283,odd,OE,4760,68,0,1,0,0
284,even,EE,16,4,1,1,0,0
285,odd,OO,4811,333697,0,0,1,1
286,even,EE,16,4,1,1,0,0
287,odd,OE,4862,69,0,1,0,0
288,even,EE,16,4,1,1,0,0
289,odd,OO,4913,344365,0,0,1,1
290,even,EO,17,70,1,1,0,0
291,odd,OE,4964,70,0,1,0,0
292,even,EO,17,70,1,1,0,0
293,odd,OO,5015,355145,0,0,1,1
294,even,EO,17,70,1,1,0,0
295,odd,OE,5066,71,0,1,0,0
296,even,EO,17,70,1,1,0,0
297,odd,OE,5118,71,0,1,0,0
298,even,EO,17,70,1,1,0,0
299,odd,OE,5170,71,0,1,0,0
300,even,EO,17,70,1,1,0,0
301,odd,OE,5222,72,0,1,0,0
302,even,EO,17,70,1,1,0,0
303,odd,OE,5274,72,0,1,0,0
304,even,EO,17,70,1,1,0,0
305,odd,OE,5326,72,0,1,0,0
306,even,EO,17,70,1,1,0,0
307,odd,OO,5379,394504,0,0,1,1
308,even,EO,17,70,1,1,0,0
309,odd,OO,5431,400239,0,0,1,1
310,even,EO,17,70,1,1,0,0
311,odd,OE,5484,74,0,1,0,0
312,even,EO,17,70,1,1,0,0
313,odd,OO,5537,412013,0,0,1,1
314,even,EO,17,70,1,1,0,0
315,odd,OE,5590,74,0,1,0,0
316,even,EO,17,70,1,1,0,0
317,odd,OE,5644,75,0,1,0,0
318,even,EO,17,70,1,1,0,0
319,odd,OO,5697,430000,0,0,1,1
320,even,EO,17,70,1,1,0,0
321,odd,OO,5751,436129,0,0,1,1
322,even,EO,17,70,1,1,0,0
323,odd,OO,5805,442286,0,0,1,1
324,even,EE,18,4,1,1,0,0
325,odd,OO,5859,448471,0,0,1,1
326,even,EE,18,4,1,1,0,0
327,odd,OO,5913,454686,0,0,1,1
328,even,EE,18,4,1,1,0,0
329,odd,OO,5967,460929,0,0,1,1
330,even,EE,18,4,1,1,0,0
331,odd,OE,6022,77,0,1,0,0
332,even,EE,18,4,1,1,0,0
333,odd,OE,6076,77,0,1,0,0
334,even,EE,18,4,1,1,0,0
335,odd,OO,6131,480061,0,0,1,1
336,even,EE,18,4,1,1,0,0
337,odd,OE,6186,78,0,1,0,0
338,even,EE,18,4,1,1,0,0
339,odd,OO,6241,493039,0,0,1,1
340,even,EE,18,4,1,1,0,0
341,odd,OE,6296,79,0,1,0,0
342,even,EE,18,4,1,1,0,0
343,odd,OE,6352,79,0,1,0,0
344,even,EE,18,4,1,1,0,0
345,odd,OE,6408,80,0,1,0,0
346,even,EE,18,4,1,1,0,0
347,odd,OO,6463,519578,0,0,1,1
348,even,EE,18,4,1,1,0,0
349,odd,OO,6519,526346,0,0,1,1
350,even,EE,18,4,1,1,0,0
351,odd,OO,6575,533142,0,0,1,1
352,even,EE,18,4,1,1,0,0
353,odd,OE,6632,81,0,1,0,0
354,even,EE,18,4,1,1,0,0
355,odd,OE,6688,81,0,1,0,0
356,even,EE,18,4,1,1,0,0
357,odd,OO,6745,553953,0,0,1,1
358,even,EE,18,4,1,1,0,0
359,odd,OE,6802,82,0,1,0,0
360,even,EE,18,4,1,1,0,0
361,odd,OO,6859,568056,0,0,1,1
362,even,EO,19,82,1,1,0,0
363,odd,OE,6916,83,0,1,0,0
364,even,EO,19,82,1,1,0,0
365,odd,OO,6973,582276,0,0,1,1
366,even,EO,19,82,1,1,0,0
367,odd,OE,7030,83,0,1,0,0
368,even,EO,19,82,1,1,0,0
369,odd,OE,7088,84,0,1,0,0
370,even,EO,19,82,1,1,0,0
371,odd,OO,7145,603953,0,0,1,1
372,even,EO,19,82,1,1,0,0
373,odd,OO,7203,611322,0,0,1,1
374,even,EO,19,82,1,1,0,0
375,odd,OO,7261,618720,0,0,1,1
376,even,EO,19,82,1,1,0,0
377,odd,OE,7320,85,0,1,0,0
378,even,EO,19,82,1,1,0,0
379,odd,OE,7378,85,0,1,0,0
380,even,EO,19,82,1,1,0,0
381,odd,OE,7436,86,0,1,0,0
382,even,EO,19,82,1,1,0,0
383,odd,OO,7495,648869,0,0,1,1
384,even,EO,19,82,1,1,0,0
385,odd,OE,7554,86,0,1,0,0
386,even,EO,19,82,1,1,0,0
387,odd,OO,7613,664253,0,0,1,1
388,even,EO,19,82,1,1,0,0
389,odd,OE,7672,87,0,1,0,0
390,even,EO,19,82,1,1,0,0
391,odd,OO,7731,679756,0,0,1,1
392,even,EO,19,82,1,1,0,0
393,odd,OE,7790,88,0,1,0,0
394,even,EO,19,82,1,1,0,0
395,odd,OE,7850,88,0,1,0,0
396,even,EO,19,82,1,1,0,0
397,odd,OE,7910,88,0,1,0,0
398,even,EO,19,82,1,1,0,0
399,odd,OE,7970,89,0,1,0,0
400,even,EE,20,4,1,1,0,0
401,odd,OE,8030,89,0,1,0,0
402,even,EE,20,4,1,1,0,0
403,odd,OE,8090,89,0,1,0,0
404,even,EE,20,4,1,1,0,0
405,odd,OE,8150,90,0,1,0,0
406,even,EE,20,4,1,1,0,0
407,odd,OE,8210,90,0,1,0,0
408,even,EE,20,4,1,1,0,0
409,odd,OO,8271,752206,0,0,1,1
410,even,EE,20,4,1,1,0,0
411,odd,OE,8332,91,0,1,0,0
412,even,EE,20,4,1,1,0,0
413,odd,OO,8393,768910,0,0,1,1
414,even,EE,20,4,1,1,0,0
415,odd,OE,8454,91,0,1,0,0
416,even,EE,20,4,1,1,0,0
417,odd,OO,8515,785736,0,0,1,1
418,even,EE,20,4,1,1,0,0
419,odd,OE,8576,92,0,1,0,0
420,even,EE,20,4,1,1,0,0
421,odd,OE,8638,92,0,1,0,0
422,even,EE,20,4,1,1,0,0
423,odd,OO,8699,811342,0,0,1,1
424,even,EE,20,4,1,1,0,0
425,odd,OO,8761,820031,0,0,1,1
426,even,EE,20,4,1,1,0,0
427,odd,OO,8823,828751,0,0,1,1
428,even,EE,20,4,1,1,0,0
429,odd,OO,8885,837502,0,0,1,1
430,even,EE,20,4,1,1,0,0
431,odd,OO,8947,846284,0,0,1,1
432,even,EE,20,4,1,1,0,0
433,odd,OE,9010,94,0,1,0,0
434,even,EE,20,4,1,1,0,0
435,odd,OE,9072,95,0,1,0,0
436,even,EE,20,4,1,1,0,0
437,odd,OO,9135,873097,0,0,1,1
438,even,EE,20,4,1,1,0,0
439,odd,OE,9198,95,0,1,0,0
440,even,EE,20,4,1,1,0,0
441,odd,OO,9261,891223,0,0,1,1
442,even,EO,21,96,1,1,0,0
443,odd,OE,9324,96,0,1,0,0
444,even,EO,21,96,1,1,0,0
445,odd,OO,9387,909473,0,0,1,1
446,even,EO,21,96,1,1,0,0
447,odd,OE,9450,97,0,1,0,0
448,even,EO,21,96,1,1,0,0
449,odd,OE,9514,97,0,1,0,0
450,even,EO,21,96,1,1,0,0
451,odd,OO,9577,937225,0,0,1,1
452,even,EO,21,96,1,1,0,0
453,odd,OO,9641,946636,0,0,1,1
454,even,EO,21,96,1,1,0,0
455,odd,OO,9705,956077,0,0,1,1
456,even,EO,21,96,1,1,0,0
457,odd,OO,9769,965550,0,0,1,1
458,even,EO,21,96,1,1,0,0
459,odd,OO,9833,975054,0,0,1,1
460,even,EO,21,96,1,1,0,0
461,odd,OE,9898,99,0,1,0,0
462,even,EO,21,96,1,1,0,0
463,odd,OE,9962,99,0,1,0,0
464,even,EO,21,96,1,1,0,0
465,odd,OO,10027,1004052,0,0,1,1
466,even,EO,21,96,1,1,0,0
467,odd,OO,10091,1013681,0,0,1,1
468,even,EO,21,96,1,1,0,0
469,odd,OE,10156,100,0,1,0,0
470,even,EO,21,96,1,1,0,0
471,odd,OO,10221,1033332,0,0,1,1
472,even,EO,21,96,1,1,0,0
473,odd,OO,10287,1043357,0,0,1,1
474,even,EO,21,96,1,1,0,0
475,odd,OE,10352,101,0,1,0,0
476,even,EO,21,96,1,1,0,0
477,odd,OO,10417,1063197,0,0,1,1
478,even,EO,21,96,1,1,0,0
479,odd,OO,10483,1073317,0,0,1,1
480,even,EO,21,96,1,1,0,0
481,odd,OO,10549,1083470,0,0,1,1
482,even,EO,21,96,1,1,0,0
483,odd,OO,10615,1093654,0,0,1,1
484,even,EE,22,4,1,1,0,0
485,odd,OO,10681,1103869,0,0,1,1
486,even,EE,22,4,1,1,0,0
487,odd,OO,10747,1114117,0,0,1,1
488,even,EE,22,4,1,1,0,0
489,odd,OO,10813,1124396,0,0,1,1
490,even,EE,22,4,1,1,0,0
491,odd,OO,10879,1134706,0,0,1,1
492,even,EE,22,4,1,1,0,0
493,odd,OE,10946,104,0,1,0,0
494,even,EE,22,4,1,1,0,0
495,odd,OO,11013,1155735,0,0,1,1
496,even,EE,22,4,1,1,0,0
497,odd,OO,11079,1166140,0,0,1,1
498,even,EE,22,4,1,1,0,0
499,odd,OE,11146,105,0,1,0,0
500,even,EE,22,4,1,1,0,0
501,odd,OO,11213,1187360,0,0,1,1
502,even,EE,22,4,1,1,0,0
503,odd,OO,11281,1198178,0,0,1,1
504,even,EE,22,4,1,1,0,0
505,odd,OE,11348,106,0,1,0,0
506,even,EE,22,4,1,1,0,0
507,odd,OO,11415,1219590,0,0,1,1
508,even,EE,22,4,1,1,0,0
509,odd,OO,11483,1230504,0,0,1,1
510,even,EE,22,4,1,1,0,0
511,odd,OO,11551,1241450,0,0,1,1
512,even,EE,22,4,1,1,0,0
513,odd,OO,11619,1252429,0,0,1,1
514,even,EE,22,4,1,1,0,0
515,odd,OO,11687,1263439,0,0,1,1
516,even,EE,22,4,1,1,0,0
517,odd,OO,11755,1274482,0,0,1,1
518,even,EE,22,4,1,1,0,0
519,odd,OO,11823,1285557,0,0,1,1
520,even,EE,22,4,1,1,0,0
521,odd,OE,11892,109,0,1,0,0
522,even,EE,22,4,1,1,0,0
523,odd,OE,11960,109,0,1,0,0
524,even,EE,22,4,1,1,0,0
525,odd,OO,12029,1319302,0,0,1,1
526,even,EE,22,4,1,1,0,0
527,odd,OE,12098,109,0,1,0,0
528,even,EE,22,4,1,1,0,0
529,odd,OO,12167,1342070,0,0,1,1
530,even,EO,23,110,1,1,0,0
531,odd,OE,12236,110,0,1,0,0
532,even,EO,23,110,1,1,0,0
533,odd,OO,12305,1364967,0,0,1,1
534,even,EO,23,110,1,1,0,0
535,odd,OE,12374,111,0,1,0,0
536,even,EO,23,110,1,1,0,0
537,odd,OE,12444,111,0,1,0,0
538,even,EO,23,110,1,1,0,0
539,odd,OO,12513,1399723,0,0,1,1
540,even,EO,23,110,1,1,0,0
541,odd,OO,12583,1411485,0,0,1,1
542,even,EO,23,110,1,1,0,0
543,odd,OO,12653,1423279,0,0,1,1
544,even,EO,23,110,1,1,0,0
545,odd,OO,12723,1435107,0,0,1,1
546,even,EO,23,110,1,1,0,0
547,odd,OO,12793,1446966,0,0,1,1
548,even,EO,23,110,1,1,0,0
549,odd,OO,12863,1458859,0,0,1,1
550,even,EO,23,110,1,1,0,0
551,odd,OO,12933,1470784,0,0,1,1
552,even,EO,23,110,1,1,0,0
553,odd,OE,13004,114,0,1,0,0
554,even,EO,23,110,1,1,0,0
555,odd,OE,13074,114,0,1,0,0
556,even,EO,23,110,1,1,0,0
557,odd,OO,13145,1507095,0,0,1,1
558,even,EO,23,110,1,1,0,0
559,odd,OE,13216,114,0,1,0,0
560,even,EO,23,110,1,1,0,0
561,odd,OO,13287,1531582,0,0,1,1
562,even,EO,23,110,1,1,0,0
563,odd,OE,13358,115,0,1,0,0
564,even,EO,23,110,1,1,0,0
565,odd,OO,13429,1556200,0,0,1,1
566,even,EO,23,110,1,1,0,0
567,odd,OO,13501,1568732,0,0,1,1
568,even,EO,23,110,1,1,0,0
569,odd,OE,13572,116,0,1,0,0
570,even,EO,23,110,1,1,0,0
571,odd,OE,13644,116,0,1,0,0
572,even,EO,23,110,1,1,0,0
573,odd,OE,13716,117,0,1,0,0
574,even,EO,23,110,1,1,0,0
575,odd,OE,13788,117,0,1,0,0
576,even,EE,24,4,1,1,0,0
577,odd,OE,13860,117,0,1,0,0
578,even,EE,24,4,1,1,0,0
579,odd,OE,13932,118,0,1,0,0
580,even,EE,24,4,1,1,0,0
581,odd,OE,14004,118,0,1,0,0
582,even,EE,24,4,1,1,0,0
583,odd,OE,14076,118,0,1,0,0
584,even,EE,24,4,1,1,0,0
585,odd,OO,14149,1683017,0,0,1,1
586,even,EE,24,4,1,1,0,0
587,odd,OO,14221,1695880,0,0,1,1
588,even,EE,24,4,1,1,0,0
589,odd,OE,14294,119,0,1,0,0
590,even,EE,24,4,1,1,0,0
591,odd,OO,14367,1722063,0,0,1,1
592,even,EE,24,4,1,1,0,0
593,odd,OE,14440,120,0,1,0,0
594,even,EE,24,4,1,1,0,0
595,odd,OO,14513,1748379,0,0,1,1
596,even,EE,24,4,1,1,0,0
597,odd,OE,14586,120,0,1,0,0
598,even,EE,24,4,1,1,0,0
599,odd,OE,14660,121,0,1,0,0
600,even,EE,24,4,1,1,0,0
601,odd,OO,14733,1788285,0,0,1,1
602,even,EE,24,4,1,1,0,0
603,odd,OO,14807,1801775,0,0,1,1
604,even,EE,24,4,1,1,0,0
605,odd,OO,14881,1815299,0,0,1,1
606,even,EE,24,4,1,1,0,0
607,odd,OE,14954,122,0,1,0,0
608,even,EE,24,4,1,1,0,0
609,odd,OE,15028,122,0,1,0,0
610,even,EE,24,4,1,1,0,0
611,odd,OE,15102,122,0,1,0,0
612,even,EE,24,4,1,1,0,0
613,odd,OO,15177,1869730,0,0,1,1
614,even,EE,24,4,1,1,0,0
615,odd,OO,15251,1883421,0,0,1,1
616,even,EE,24,4,1,1,0,0
617,odd,OO,15325,1897145,0,0,1,1
618,even,EE,24,4,1,1,0,0
619,odd,OE,15400,124,0,1,0,0
620,even,EE,24,4,1,1,0,0
621,odd,OO,15475,1925067,0,0,1,1
622,even,EE,24,4,1,1,0,0
623,odd,OE,15550,124,0,1,0,0
624,even,EE,24,4,1,1,0,0
625,odd,OO,15625,1953125,0,0,1,1
626,even,EO,25,125,1,1,0,0
627,odd,OE,15700,125,0,1,0,0
628,even,EO,25,125,1,1,0,0
629,odd,OO,15775,1981317,0,0,1,1
630,even,EO,25,125,1,1,0,0
631,odd,OE,15850,125,0,1,0,0
632,even,EO,25,125,1,1,0,0
633,odd,OO,15925,2009644,0,0,1,1
634,even,EO,25,125,1,1,0,0
635,odd,OO,16001,2024047,0,0,1,1
636,even,EO,25,125,1,1,0,0
637,odd,OO,16077,2038484,0,0,1,1
638,even,EO,25,125,1,1,0,0
639,odd,OE,16152,127,0,1,0,0
640,even,EO,25,125,1,1,0,0
641,odd,OE,16228,127,0,1,0,0
642,even,EO,25,125,1,1,0,0
643,odd,OE,16304,127,0,1,0,0
644,even,EO,25,125,1,1,0,0
645,odd,OE,16380,127,0,1,0,0
646,even,EO,25,125,1,1,0,0
647,odd,OO,16457,2111183,0,0,1,1
648,even,EO,25,125,1,1,0,0
649,odd,OO,16533,2125824,0,0,1,1
650,even,EO,25,125,1,1,0,0
651,odd,OE,16610,128,0,1,0,0
652,even,EO,25,125,1,1,0,0
653,odd,OE,16686,129,0,1,0,0
654,even,EO,25,125,1,1,0,0
655,odd,OO,16763,2170339,0,0,1,1
656,even,EO,25,125,1,1,0,0
657,odd,OE,16840,129,0,1,0,0
658,even,EO,25,125,1,1,0,0
659,odd,OO,16917,2200315,0,0,1,1
660,even,EO,25,125,1,1,0,0
661,odd,OE,16994,130,0,1,0,0
662,even,EO,25,125,1,1,0,0
663,odd,OO,17071,2230429,0,0,1,1
664,even,EO,25,125,1,1,0,0
665,odd,OE,17148,130,0,1,0,0
666,even,EO,25,125,1,1,0,0
667,odd,OE,17226,131,0,1,0,0
668,even,EO,25,125,1,1,0,0
669,odd,OO,17303,2276051,0,0,1,1
670,even,EO,25,125,1,1,0,0
671,odd,OO,17381,2291459,0,0,1,1
672,even,EO,25,125,1,1,0,0
673,odd,OO,17459,2306901,0,0,1,1
674,even,EO,25,125,1,1,0,0
675,odd,OO,17537,2322378,0,0,1,1
676,even,EE,26,5,1,1,0,0
677,odd,OO,17615,2337889,0,0,1,1
678,even,EE,26,5,1,1,0,0
679,odd,OO,17693,2353435,0,0,1,1
680,even,EE,26,5,1,1,0,0
681,odd,OO,17771,2369014,0,0,1,1
682,even,EE,26,5,1,1,0,0
683,odd,OO,17849,2384629,0,0,1,1
684,even,EE,26,5,1,1,0,0
685,odd,OE,17928,133,0,1,0,0
686,even,EE,26,5,1,1,0,0
687,odd,OE,18006,134,0,1,0,0
688,even,EE,26,5,1,1,0,0
