round,target,predecessor,branch,validation_status
4,46,2158,E,ok
4,46,2160,E,ok
4,46,2162,E,ok
4,46,2164,E,ok
4,46,2166,E,ok
4,46,2168,E,ok
4,46,2170,E,ok
4,46,2172,E,ok
4,46,2174,E,ok
4,46,2176,E,ok
4,46,2178,E,ok
4,46,2180,E,ok
4,46,2182,E,ok
4,46,2184,E,ok
4,46,2186,E,ok
4,46,2188,E,ok
4,46,2190,E,ok
4,46,2192,E,ok
4,46,2194,E,ok
4,46,2196,E,ok
4,46,2198,E,ok
4,46,2200,E,ok
4,46,2202,E,ok
4,46,2204,E,ok
4,46,2206,E,ok
4,46,2208,E,ok
4,46,13,O,ok
4,48,2304,E,ok
4,48,2306,E,ok
4,48,2308,E,ok
4,48,2310,E,ok
4,48,2312,E,ok
4,48,2314,E,ok
4,48,2316,E,ok
4,48,2318,E,ok
4,48,2320,E,ok
4,48,2322,E,ok
4,48,2324,E,ok
4,48,2326,E,ok
4,48,2328,E,ok
4,48,2330,E,ok
4,48,2332,E,ok
4,48,2334,E,ok
4,48,2336,E,ok
4,48,2338,E,ok
4,48,2340,E,ok
4,48,2342,E,ok
4,48,2344,E,ok
4,48,2346,E,ok
4,48,2348,E,ok
4,48,2350,E,ok
4,48,2352,E,ok
4,48,2354,E,ok
4,48,2356,E,ok
4,48,2358,E,ok
4,48,2360,E,ok
4,48,2362,E,ok
4,48,2364,E,ok
4,48,2366,E,ok
4,48,2368,E,ok
4,48,2370,E,ok
4,48,2372,E,ok
4,48,2374,E,ok
4,48,2376,E,ok
4,48,2378,E,ok
4,48,2380,E,ok
4,48,2382,E,ok
4,48,2384,E,ok
4,48,2386,E,ok
4,48,2388,E,ok
4,48,2390,E,ok
4,48,2392,E,ok
4,48,2394,E,ok
4,48,2396,E,ok
4,48,2398,E,ok
4,48,2400,E,ok
4,70,17,O,ok
5,262,41,O,ok
5,7,50,E,ok
5,7,52,E,ok
5,7,54,E,ok
5,7,56,E,ok
5,7,58,E,ok
5,7,60,E,ok
5,7,62,E,ok
5,430,57,O,ok
5,500,63,O,ok
5,524,65,O,ok
5,598,71,O,ok
5,1298,119,O,ok
5,1364,123,O,ok
5,11,122,E,ok
5,11,124,E,ok
5,11,126,E,ok
5,11,128,E,ok
5,11,130,E,ok
5,11,132,E,ok
5,11,134,E,ok
5,11,136,E,ok
5,11,138,E,ok
5,11,140,E,ok
5,11,142,E,ok
5,11,5,O,ok
5,1638,139,O,ok
5,1674,141,O,ok
5,1782,147,O,ok
5,1818,149,O,ok
5,2004,159,O,ok
5,2158,167,O,ok
5,13,170,E,ok
5,13,172,E,ok
5,13,174,E,ok
5,13,176,E,ok
5,13,178,E,ok
5,13,180,E,ok
5,13,182,E,ok
5,13,184,E,ok
5,13,186,E,ok
5,13,188,E,ok
5,13,190,E,ok
5,13,192,E,ok
5,13,194,E,ok
5,2354,177,O,ok
5,2394,179,O,ok
5,17,290,E,ok
5,17,292,E,ok
5,17,294,E,ok
5,17,296,E,ok
5,17,298,E,ok
5,17,300,E,ok
5,17,302,E,ok
5,17,304,E,ok
5,17,306,E,ok
5,17,308,E,ok
5,17,310,E,ok
5,17,312,E,ok
5,17,314,E,ok
5,17,316,E,ok
5,17,318,E,ok
5,17,320,E,ok
5,17,322,E,ok
6,41,1682,E,ok
6,41,1684,E,ok
6,41,1686,E,ok
6,41,1688,E,ok
6,41,1690,E,ok
6,41,1692,E,ok
6,41,1694,E,ok
6,41,1696,E,ok
6,41,1698,E,ok
6,41,1700,E,ok
6,41,1702,E,ok
6,41,1704,E,ok
6,41,1706,E,ok
6,41,1708,E,ok
6,41,1710,E,ok
6,41,1712,E,ok
6,41,1714,E,ok
6,41,1716,E,ok
6,41,1718,E,ok
6,41,1720,E,ok
6,41,1722,E,ok
6,41,1724,E,ok
6,41,1726,E,ok
6,41,1728,E,ok
6,41,1730,E,ok
6,41,1732,E,ok
6,41,1734,E,ok
6,41,1736,E,ok
6,41,1738,E,ok
6,41,1740,E,ok
6,41,1742,E,ok
6,41,1744,E,ok
6,41,1746,E,ok
6,41,1748,E,ok
6,41,1750,E,ok
6,41,1752,E,ok
6,41,1754,E,ok
6,41,1756,E,ok
6,41,1758,E,ok
6,41,1760,E,ok
6,41,1762,E,ok
6,50,2500,E,ok
6,50,2502,E,ok
6,50,2504,E,ok
6,50,2506,E,ok
6,50,2508,E,ok
6,50,2510,E,ok
6,50,2512,E,ok
6,50,2514,E,ok
6,50,2516,E,ok
6,50,2518,E,ok
6,50,2520,E,ok
6,50,2522,E,ok
6,50,2524,E,ok
6,50,2526,E,ok
6,50,2528,E,ok
6,50,2530,E,ok
6,50,2532,E,ok
6,50,2534,E,ok
6,50,2536,E,ok
6,50,2538,E,ok
6,50,2540,E,ok
6,50,2542,E,ok
6,50,2544,E,ok
6,50,2546,E,ok
6,50,2548,E,ok
6,50,2550,E,ok
6,50,2552,E,ok
6,50,2554,E,ok
6,50,2556,E,ok
6,50,2558,E,ok
6,50,2560,E,ok
6,50,2562,E,ok
6,50,2564,E,ok
6,50,2566,E,ok
6,50,2568,E,ok
6,50,2570,E,ok
6,50,2572,E,ok
6,50,2574,E,ok
6,50,2576,E,ok
6,50,2578,E,ok
6,50,2580,E,ok
6,50,2582,E,ok
6,50,2584,E,ok
6,50,2586,E,ok
