start,macro_step,state,a,b,peak,exact_return_status
121,0,121,1,0,1331,RETURNED
121,1,1331,1,3,48558,RETURNED
123,0,123,1,4,1364,CAPTURE
125,0,125,1,0,1397,RETURNED
125,1,1397,1,2,52214,RETURNED
127,0,127,1,0,1431,RETURNED
127,1,1431,1,2,54132,RETURNED
129,0,129,1,0,1465,RETURNED
129,1,1465,1,0,56073,RETURNED
129,2,56073,1,0,13277939,RETURNED
129,3,13277939,1,0,48383357647,RETURNED
129,4,48383357647,1,5,10642508495641456,RETURNED
131,0,131,1,0,1499,RETURNED
131,1,1499,1,2,58036,RETURNED
133,0,133,1,0,1533,RETURNED
133,1,1533,1,2,60022,RETURNED
135,0,135,1,1,1568,RETURNED
137,0,137,1,0,1603,RETURNED
137,1,1603,1,1,64180,RETURNED
137,2,253,1,1,4024,RETURNED
139,0,139,1,4,1638,CAPTURE
141,0,141,1,4,1674,CAPTURE
143,0,143,1,1,1710,RETURNED
145,0,145,1,1,1746,RETURNED
147,0,147,1,4,1782,CAPTURE
149,0,149,1,4,1818,CAPTURE
151,0,151,1,0,1855,CAPTURE
151,1,1855,1,5,79894,CAPTURE
153,0,153,1,1,1892,RETURNED
155,0,155,1,0,1929,CAPTURE
155,1,1929,1,1,84722,CAPTURE
155,2,291,1,4,4964,CAPTURE
157,0,157,1,0,1967,RETURNED
157,1,1967,1,1,87238,RETURNED
157,2,295,1,1,5066,RETURNED
159,0,159,1,4,2004,CAPTURE
161,0,161,1,1,2042,RETURNED
163,0,163,1,0,2081,RETURNED
163,1,2081,1,0,94931,RETURNED
163,2,94931,1,0,29249071,RETURNED
163,3,29249071,1,0,158186025767,RETURNED
163,4,158186025767,1,0,62914706160224995,RETURNED
163,5,62914706160224995,1,1,15780772497304229543894404,RETURNED
163,6,3972502044971,1,2,7917648073559565948,RETURNED
163,7,53045,1,0,12217059,RETURNED
163,8,12217059,1,0,42702176063,RETURNED
163,9,42702176063,1,1,8824193242915618,RETURNED
163,10,93937177,1,1,910450328488,RETURNED
163,11,954175,1,1,932056094,RETURNED
163,12,30529,1,1,5334194,RETURNED
163,13,2309,1,1,110952,RETURNED
163,14,333,1,1,6076,RETURNED
165,0,165,1,0,2119,RETURNED
165,1,2119,1,0,97543,RETURNED
165,2,97543,1,0,30464507,RETURNED
165,3,30464507,1,0,168147816319,RETURNED
165,4,168147816319,1,1,68950409127305712,RETURNED
165,5,262584099,1,3,4255030086316,RETURNED
167,0,167,1,4,2158,CAPTURE
169,0,169,1,0,2197,RETURNED
169,1,2197,1,2,102978,RETURNED
171,0,171,1,1,2236,RETURNED
173,0,173,1,0,2275,RETURNED
173,1,2275,1,1,108510,RETURNED
173,2,329,1,0,5967,RETURNED
173,3,5967,1,0,460929,RETURNED
173,4,460929,1,0,312932773,RETURNED
173,5,312932773,1,0,5535751327289,RETURNED
173,6,5535751327289,1,0,13024613938403266721,RETURNED
173,7,13024613938403266721,1,0,47005349798456946840287141703,RETURNED
173,8,47005349798456946840287141703,1,0,10191096955185724142110473921312275306979975,RETURNED
173,9,10191096955185724142110473921312275306979975,1,1,32533545863179570755492129120411963721630316057459884067704058780,RETURNED
173,10,180370579261640036336071806107777,1,0,2422415016626348458766908471775308849587113312253,RETURNED
173,11,2422415016626348458766908471775308849587113312253,1,1,3770273235023328364461642790668920055748143087755094285582942047206226296,RETURNED
173,12,1941719144218166368455510841464890645,1,0,2705699857592884375920621460029269323489574854343501515,RETURNED
173,13,2705699857592884375920621460029269323489574854343501515,1,2,4450608860210678234719664930918817118564659064289879586228390154864378511410864886,RETURNED
173,14,258288373266707936943,1,2,4151043510194925814623446124048,RETURNED
173,15,45137689,1,3,303255705058,RETURNED
175,0,175,1,0,2315,RETURNED
175,1,2315,1,1,111384,RETURNED
175,2,333,1,1,6076,RETURNED
177,0,177,1,4,2354,CAPTURE
179,0,179,1,4,2394,CAPTURE
181,0,181,1,0,2435,CAPTURE
181,1,2435,1,5,120156,CAPTURE
183,0,183,1,0,2475,CAPTURE
183,1,2475,1,0,123129,CAPTURE
183,2,123129,1,1,43205648,CAPTURE
183,3,6573,1,0,532899,CAPTURE
183,4,532899,1,0,389015905,CAPTURE
183,5,389015905,1,6,7672749805430,CAPTURE
185,0,185,1,2,2516,RETURNED
187,0,187,1,0,2557,RETURNED
187,1,2557,1,0,129299,RETURNED
187,2,129299,1,3,46493554,RETURNED
189,0,189,1,2,2598,RETURNED
191,0,191,1,0,2639,RETURNED
191,1,2639,1,2,135568,RETURNED
193,0,193,1,0,2681,CAPPED
193,1,2681,1,0,138817,CAPPED
193,2,138817,1,1,51720650,CAPPED
193,3,7191,1,0,609795,CAPPED
193,4,609795,1,0,476185085,CAPPED
193,5,476185085,1,0,10391151638843,CAPPED
193,6,10391151638843,1,0,33496198677403032405,CAPPED
193,7,33496198677403032405,1,0,193862266440176814000739774971,CAPPED
193,8,193862266440176814000739774971,1,0,85357154459746972731761066262612011066679467,CAPPED
193,9,85357154459746972731761066262612011066679467,1,1,788605665777872333941479874994035776759769384273765832159588845286,CAPPED
193,10,888034721042973822495186607446955,1,0,26463356030971610422085864703771922874040048088677,CAPPED
193,11,26463356030971610422085864703771922874040048088677,1,0,136134242643398481765860616637779751344646303632658099373147841507505327119,CAPPED
193,12,136134242643398481765860616637779751344646303632658099373147841507505327119,1,2,1588367781976112247424522832142385725387192827585531883810890396595136891224470087055467097483507581305201397218,CAPPED
193,13,6313028752924540594327544385,1,2,501598987306740260009543058314478557530544,CAPPED
193,14,26612713755,1,0,4341439408117523,CAPPED
193,15,4341439408117523,1,0,286055706682596949458075,CAPPED
195,0,195,1,0,2723,RETURNED
195,1,2723,1,2,142092,RETURNED
197,0,197,1,0,2765,RETURNED
197,1,2765,1,1,145392,RETURNED
197,2,381,1,2,7436,RETURNED
199,0,199,1,0,2807,RETURNED
199,1,2807,1,1,148718,RETURNED
199,2,385,1,2,7554,RETURNED
365,0,365,1,0,6973,RETURNED
365,1,6973,1,1,582276,RETURNED
365,2,763,1,0,21075,RETURNED
365,3,21075,1,1,3059506,RETURNED
365,4,1749,1,0,73145,RETURNED
365,5,73145,1,1,19782308,RETURNED
365,6,4447,1,0,296551,RETURNED
365,7,296551,1,1,161491284,RETURNED
365,8,12707,1,3,1432400,RETURNED
425,0,425,1,0,8761,CAPPED
425,1,8761,1,0,820031,CAPPED
425,2,820031,1,0,742583689,CAPPED
425,3,742583689,1,0,20235694231553,CAPPED
425,4,20235694231553,1,0,91028453119575577493,CAPPED
425,5,91028453119575577493,1,0,868491843305390437279055194021,CAPPED
425,6,868491843305390437279055194021,1,1,809372819968498130292670129184744027793288142,CAPPED
425,7,28449478377792766313063,1,0,4798565883810176976333128295724941,CAPPED
425,8,4798565883810176976333128295724941,1,2,332404728459652093438283466731903400760886863666464,CAPPED
425,9,4269891094107,1,0,8823181180343186817,CAPPED
425,10,8823181180343186817,1,0,26208236315443984064030381073,CAPPED
425,11,26208236315443984064030381073,1,1,4242840386069048178854633568610737237441236,CAPPED
425,12,2059815619435159098981,1,2,93485126613784537628222361674294,CAPPED
425,13,98329907,1,0,975053493377,CAPPED
425,14,975053493377,1,1,962814592636969484,CAPPED
425,15,981231161,1,0,30736682958089,CAPPED
763,0,763,1,0,21075,RETURNED
763,1,21075,1,1,3059506,RETURNED
763,2,1749,1,0,73145,RETURNED
763,3,73145,1,1,19782308,RETURNED
763,4,4447,1,0,296551,RETURNED
763,5,296551,1,1,161491284,RETURNED
763,6,12707,1,3,1432400,RETURNED
1749,0,1749,1,0,73145,RETURNED
1749,1,73145,1,1,19782308,RETURNED
1749,2,4447,1,0,296551,RETURNED
1749,3,296551,1,1,161491284,RETURNED
1749,4,12707,1,3,1432400,RETURNED
2183,0,2183,1,0,101995,CAPPED
2183,1,101995,1,1,32573792,CAPPED
2183,2,5707,1,0,431133,CAPPED
2183,3,431133,1,0,283085027,CAPPED
2183,4,283085027,1,0,4762942611531,CAPPED
2183,5,4762942611531,1,1,10394725451907836106,CAPPED
2183,6,3224085211,1,0,183066874634985,CAPPED
2183,7,183066874634985,1,0,2476935233206379472839,CAPPED
2183,8,2476935233206379472839,1,0,123274138522844019183210342137965,CAPPED
2183,9,123274138522844019183210342137965,1,0,1368699045371341821356362389314280034173574966091,CAPPED
2183,10,1368699045371341821356362389314280034173574966091,1,0,1601260337570214789323973544633995418887898888801724675229142005040879895,CAPPED
2183,11,1601260337570214789323973544633995418887898888801724675229142005040879895,1,0,2026249495769222909104271069426930676845173186152561410742265602253010769007698051176251489951201644056410795,CAPPED
2183,12,2026249495769222909104271069426930676845173186152561410742265602253010769007698051176251489951201644056410795,1,0,2884293024685219301706853967967557884134242370388343544570210697148384281289512979218199225255290013934342343023528816392892148837338615534716771283718551599178665,CAPPED
2183,13,2884293024685219301706853967967557884134242370388343544570210697148384281289512979218199225255290013934342343023528816392892148837338615534716771283718551599178665,1,1,4898454399776989391119078884342238011597999090985855214294561386144471562559203061159172210282117708203592680277079222085164267600202728914843147085590115847824409957175544299617240499760375810632357839569735295432285546341543870037850949624370,CAPPED
2183,14,69988959127686628220996999383110775115710288708998212967648812410753610218151125438173401051498637620050581140848590685881,1,0,585523462189883937908062612859057026360770224631561777971350231322860305358382675335528057585148964560981582659396751279290456649620937566221509409093733519071130299118668929092621645,CAPPED
2183,15,585523462189883937908062612859057026360770224631561777971350231322860305358382675335528057585148964560981582659396751279290456649620937566221509409093733519071130299118668929092621645,1,0,14168257887950095435825146013522265843950656103734187081880992339600755344828511517023499763103439783207249339956537587226350670851642920065500019737809736878701638226596191481549102779358686734455412019122599352531104432163269484475611186656729969971193481079980441406393577,CAPPED
3889,0,3889,1,0,242525,CAPPED
3889,1,242525,1,0,119435867,CAPPED
3889,2,119435867,1,0,1305275389885,CAPPED
3889,3,1305275389885,1,0,1491259504415506425,CAPPED
3889,4,1491259504415506425,1,1,1821083405626235967451743648,CAPPED
3889,5,42674153836089,1,1,278770861820314491178,CAPPED
3889,6,16696432607,1,0,2157424136983861,CAPPED
3889,7,2157424136983861,1,0,100208208938689620612911,CAPPED
3889,8,100208208938689620612911,1,1,31721590163095410566194732959162048,CAPPED
3889,9,178105559046020263,1,0,75165095289148973115145607,CAPPED
3889,10,75165095289148973115145607,1,1,651664883361504660893207797306786583124,CAPPED
3889,11,25527727735963979857,1,1,128978772352434857497214884192,CAPPED
3889,12,359136147376499,1,1,6805948824080577725754,CAPPED
3889,13,82498174671,1,0,23695534492560029,CAPPED
3889,14,23695534492560029,1,0,3647537487823378572255677,CAPPED
3889,15,3647537487823378572255677,1,0,6966259464739911733430359899336633901,CAPPED
