n,target,a,b,r,peak,peak_position,beta_num,beta_den,validation_status
1999,89375,1,0,1,89375,1,3,2,OK
2001,89509,1,0,1,89509,1,3,2,OK
2003,299,1,1,2,89644,1,3,4,OK
2005,299,1,1,2,89778,1,3,4,OK
2007,299,1,1,2,89912,1,3,4,OK
2009,90047,1,0,1,90047,1,3,2,OK
2011,90181,1,0,1,90181,1,3,2,OK
2013,17,1,2,3,90316,1,3,8,OK
2015,17,1,2,3,90450,1,3,8,OK
2017,90585,1,0,1,90585,1,3,2,OK
2019,301,1,1,2,90720,1,3,4,OK
2021,90855,1,0,1,90855,1,3,2,OK
2023,301,1,1,2,90990,1,3,4,OK
2025,91125,1,0,1,91125,1,3,2,OK
2027,17,1,2,3,91260,1,3,8,OK
2029,91395,1,0,1,91395,1,3,2,OK
2031,17,1,2,3,91530,1,3,8,OK
2033,91665,1,0,1,91665,1,3,2,OK
2035,17,1,2,3,91800,1,3,8,OK
2037,303,1,1,2,91936,1,3,4,OK
2039,92071,1,0,1,92071,1,3,2,OK
2041,92207,1,0,1,92207,1,3,2,OK
2043,303,1,1,2,92342,1,3,4,OK
2045,17,1,2,3,92478,1,3,8,OK
2047,17,1,2,3,92614,1,3,8,OK
2049,92749,1,0,1,92749,1,3,2,OK
2051,92885,1,0,1,92885,1,3,2,OK
2053,93021,1,0,1,93021,1,3,2,OK
2055,93157,1,0,1,93157,1,3,2,OK
2057,93293,1,0,1,93293,1,3,2,OK
2059,93429,1,0,1,93429,1,3,2,OK
2061,93565,1,0,1,93565,1,3,2,OK
2063,93701,1,0,1,93701,1,3,2,OK
2065,17,1,2,3,93838,1,3,8,OK
2067,17,1,2,3,93974,1,3,8,OK
2069,94111,1,0,1,94111,1,3,2,OK
2071,94247,1,0,1,94247,1,3,2,OK
2073,307,1,1,2,94384,1,3,4,OK
2075,307,1,1,2,94520,1,3,4,OK
2077,94657,1,0,1,94657,1,3,2,OK
2079,307,1,1,2,94794,1,3,4,OK
2081,94931,1,0,1,94931,1,3,2,OK
2083,95067,1,0,1,95067,1,3,2,OK
2085,17,1,2,3,95204,1,3,8,OK
2087,95341,1,0,1,95341,1,3,2,OK
2089,17,1,2,3,95478,1,3,8,OK
2091,309,1,1,2,95616,1,3,4,OK
2093,95753,1,0,1,95753,1,3,2,OK
2095,309,1,1,2,95890,1,3,4,OK
2097,96027,1,0,1,96027,1,3,2,OK
2099,96165,1,0,1,96165,1,3,2,OK
2101,17,1,2,3,96302,1,3,8,OK
2103,17,1,2,3,96440,1,3,8,OK
2105,96577,1,0,1,96577,1,3,2,OK
2107,96715,1,0,1,96715,1,3,2,OK
2109,96853,1,0,1,96853,1,3,2,OK
2111,96991,1,0,1,96991,1,3,2,OK
2113,97129,1,0,1,97129,1,3,2,OK
2115,97267,1,0,1,97267,1,3,2,OK
2117,97405,1,0,1,97405,1,3,2,OK
2119,97543,1,0,1,97543,1,3,2,OK
2121,97681,1,0,1,97681,1,3,2,OK
2123,97819,1,0,1,97819,1,3,2,OK
2125,97957,1,0,1,97957,1,3,2,OK
2127,98095,1,0,1,98095,1,3,2,OK
2129,313,1,1,2,98234,1,3,4,OK
2131,313,1,1,2,98372,1,3,4,OK
2133,98511,1,0,1,98511,1,3,2,OK
2135,98649,1,0,1,98649,1,3,2,OK
2137,17,1,2,3,98788,1,3,8,OK
2139,98927,1,0,1,98927,1,3,2,OK
2141,17,1,2,3,99066,1,3,8,OK
2143,17,1,2,3,99204,1,3,8,OK
2145,99343,1,0,1,99343,1,3,2,OK
2147,315,1,1,2,99482,1,3,4,OK
2149,99621,1,0,1,99621,1,3,2,OK
2151,315,1,1,2,99760,1,3,4,OK
2153,17,1,2,3,99900,1,3,8,OK
2155,100039,1,0,1,100039,1,3,2,OK
2157,17,1,2,3,100178,1,3,8,OK
2159,17,1,2,3,100318,1,3,8,OK
2161,100457,1,0,1,100457,1,3,2,OK
2163,317,1,1,2,100596,1,3,4,OK
2165,317,1,1,2,100736,1,3,4,OK
2167,317,1,1,2,100876,1,3,4,OK
2169,101015,1,0,1,101015,1,3,2,OK
2171,101155,1,0,1,101155,1,3,2,OK
