root,parent,child,inverse_letter,even_remainder,child_minus_parent,mod3_class,depth,validation_status
203,203,41614,E,405,41411,2,1,ok
204,204,41616,E,0,41412,0,1,ok
204,204,42024,E,408,41820,0,1,ok
205,205,42026,E,1,41821,1,1,ok
205,205,42434,E,409,42229,1,1,ok
206,206,42436,E,0,42230,2,1,ok
206,206,42848,E,412,42642,2,1,ok
207,207,42850,E,1,42643,0,1,ok
207,207,43262,E,413,43055,0,1,ok
207,207,35,O,,-172,0,1,ok
208,208,43264,E,0,43056,1,1,ok
208,208,43680,E,416,43472,1,1,ok
209,209,43682,E,1,43473,2,1,ok
209,209,44098,E,417,43889,2,1,ok
210,210,44100,E,0,43890,0,1,ok
210,210,44520,E,420,44310,0,1,ok
211,211,44522,E,1,44311,1,1,ok
211,211,44942,E,421,44731,1,1,ok
212,212,44944,E,0,44732,2,1,ok
212,212,45368,E,424,45156,2,1,ok
213,213,45370,E,1,45157,0,1,ok
213,213,45794,E,425,45581,0,1,ok
214,214,45796,E,0,45582,1,1,ok
214,214,46224,E,428,46010,1,1,ok
215,215,46226,E,1,46011,2,1,ok
215,215,46654,E,429,46439,2,1,ok
216,216,46656,E,0,46440,0,1,ok
216,216,47088,E,432,46872,0,1,ok
217,217,47090,E,1,46873,1,1,ok
217,217,47522,E,433,47305,1,1,ok
218,218,47524,E,0,47306,2,1,ok
218,218,47960,E,436,47742,2,1,ok
219,219,47962,E,1,47743,0,1,ok
219,219,48398,E,437,48179,0,1,ok
220,220,48400,E,0,48180,1,1,ok
220,220,48840,E,440,48620,1,1,ok
221,221,48842,E,1,48621,2,1,ok
221,221,49282,E,441,49061,2,1,ok
222,222,49284,E,0,49062,0,1,ok
222,222,49728,E,444,49506,0,1,ok
223,223,49730,E,1,49507,1,1,ok
223,223,50174,E,445,49951,1,1,ok
224,224,50176,E,0,49952,2,1,ok
224,224,50624,E,448,50400,2,1,ok
225,225,50626,E,1,50401,0,1,ok
225,225,51074,E,449,50849,0,1,ok
225,225,37,O,,-188,0,1,ok
226,226,51076,E,0,50850,1,1,ok
226,226,51528,E,452,51302,1,1,ok
