m,c_m,lower_n,upper_n,odd_count,even_count,exact_status
437,0,,,0,0,ODD_CELL_UNIQUE
438,0,,,0,0,ODD_CELL_UNIQUE
439,0,,,0,0,ODD_CELL_UNIQUE
440,0,,,0,0,ODD_CELL_UNIQUE
441,0,58,58,0,1,ODD_CELL_UNIQUE
442,0,,,0,0,ODD_CELL_UNIQUE
443,0,,,0,0,ODD_CELL_UNIQUE
444,0,,,0,0,ODD_CELL_UNIQUE
445,0,,,0,0,ODD_CELL_UNIQUE
446,0,,,0,0,ODD_CELL_UNIQUE
447,0,,,0,0,ODD_CELL_UNIQUE
448,0,,,0,0,ODD_CELL_UNIQUE
449,0,,,0,0,ODD_CELL_UNIQUE
450,0,,,0,0,ODD_CELL_UNIQUE
451,0,,,0,0,ODD_CELL_UNIQUE
452,0,,,0,0,ODD_CELL_UNIQUE
453,1,59,59,1,0,ODD_CELL_UNIQUE
454,0,,,0,0,ODD_CELL_UNIQUE
455,0,,,0,0,ODD_CELL_UNIQUE
456,0,,,0,0,ODD_CELL_UNIQUE
457,0,,,0,0,ODD_CELL_UNIQUE
458,0,,,0,0,ODD_CELL_UNIQUE
459,0,,,0,0,ODD_CELL_UNIQUE
460,0,,,0,0,ODD_CELL_UNIQUE
461,0,,,0,0,ODD_CELL_UNIQUE
462,0,,,0,0,ODD_CELL_UNIQUE
463,0,,,0,0,ODD_CELL_UNIQUE
464,0,60,60,0,1,ODD_CELL_UNIQUE
465,0,,,0,0,ODD_CELL_UNIQUE
466,0,,,0,0,ODD_CELL_UNIQUE
467,0,,,0,0,ODD_CELL_UNIQUE
468,0,,,0,0,ODD_CELL_UNIQUE
469,0,,,0,0,ODD_CELL_UNIQUE
470,0,,,0,0,ODD_CELL_UNIQUE
471,0,,,0,0,ODD_CELL_UNIQUE
472,0,,,0,0,ODD_CELL_UNIQUE
473,0,,,0,0,ODD_CELL_UNIQUE
474,0,,,0,0,ODD_CELL_UNIQUE
475,0,,,0,0,ODD_CELL_UNIQUE
476,1,61,61,1,0,ODD_CELL_UNIQUE
477,0,,,0,0,ODD_CELL_UNIQUE
478,0,,,0,0,ODD_CELL_UNIQUE
479,0,,,0,0,ODD_CELL_UNIQUE
480,0,,,0,0,ODD_CELL_UNIQUE
481,0,,,0,0,ODD_CELL_UNIQUE
482,0,,,0,0,ODD_CELL_UNIQUE
483,0,,,0,0,ODD_CELL_UNIQUE
484,0,,,0,0,ODD_CELL_UNIQUE
485,0,,,0,0,ODD_CELL_UNIQUE
486,0,,,0,0,ODD_CELL_UNIQUE
487,0,,,0,0,ODD_CELL_UNIQUE
488,0,62,62,0,1,ODD_CELL_UNIQUE
489,0,,,0,0,ODD_CELL_UNIQUE
490,0,,,0,0,ODD_CELL_UNIQUE
491,0,,,0,0,ODD_CELL_UNIQUE
492,0,,,0,0,ODD_CELL_UNIQUE
493,0,,,0,0,ODD_CELL_UNIQUE
494,0,,,0,0,ODD_CELL_UNIQUE
495,0,,,0,0,ODD_CELL_UNIQUE
496,0,,,0,0,ODD_CELL_UNIQUE
497,0,,,0,0,ODD_CELL_UNIQUE
498,0,,,0,0,ODD_CELL_UNIQUE
499,0,,,0,0,ODD_CELL_UNIQUE
500,1,63,63,1,0,ODD_CELL_UNIQUE
501,0,,,0,0,ODD_CELL_UNIQUE
502,0,,,0,0,ODD_CELL_UNIQUE
503,0,,,0,0,ODD_CELL_UNIQUE
504,0,,,0,0,ODD_CELL_UNIQUE
505,0,,,0,0,ODD_CELL_UNIQUE
506,0,,,0,0,ODD_CELL_UNIQUE
507,0,,,0,0,ODD_CELL_UNIQUE
508,0,,,0,0,ODD_CELL_UNIQUE
509,0,,,0,0,ODD_CELL_UNIQUE
510,0,,,0,0,ODD_CELL_UNIQUE
511,0,,,0,0,ODD_CELL_UNIQUE
512,0,64,64,0,1,ODD_CELL_UNIQUE
513,0,,,0,0,ODD_CELL_UNIQUE
514,0,,,0,0,ODD_CELL_UNIQUE
515,0,,,0,0,ODD_CELL_UNIQUE
516,0,,,0,0,ODD_CELL_UNIQUE
517,0,,,0,0,ODD_CELL_UNIQUE
518,0,,,0,0,ODD_CELL_UNIQUE
519,0,,,0,0,ODD_CELL_UNIQUE
520,0,,,0,0,ODD_CELL_UNIQUE
521,0,,,0,0,ODD_CELL_UNIQUE
522,0,,,0,0,ODD_CELL_UNIQUE
523,0,,,0,0,ODD_CELL_UNIQUE
524,1,65,65,1,0,ODD_CELL_UNIQUE
525,0,,,0,0,ODD_CELL_UNIQUE
526,0,,,0,0,ODD_CELL_UNIQUE
527,0,,,0,0,ODD_CELL_UNIQUE
528,0,,,0,0,ODD_CELL_UNIQUE
529,0,,,0,0,ODD_CELL_UNIQUE
530,0,,,0,0,ODD_CELL_UNIQUE
531,0,,,0,0,ODD_CELL_UNIQUE
532,0,,,0,0,ODD_CELL_UNIQUE
533,0,,,0,0,ODD_CELL_UNIQUE
534,0,,,0,0,ODD_CELL_UNIQUE
535,0,,,0,0,ODD_CELL_UNIQUE
536,0,66,66,0,1,ODD_CELL_UNIQUE
537,0,,,0,0,ODD_CELL_UNIQUE
538,0,,,0,0,ODD_CELL_UNIQUE
539,0,,,0,0,ODD_CELL_UNIQUE
540,0,,,0,0,ODD_CELL_UNIQUE
541,0,,,0,0,ODD_CELL_UNIQUE
542,0,,,0,0,ODD_CELL_UNIQUE
543,0,,,0,0,ODD_CELL_UNIQUE
544,0,,,0,0,ODD_CELL_UNIQUE
545,0,,,0,0,ODD_CELL_UNIQUE
546,0,,,0,0,ODD_CELL_UNIQUE
547,0,,,0,0,ODD_CELL_UNIQUE
548,1,67,67,1,0,ODD_CELL_UNIQUE
549,0,,,0,0,ODD_CELL_UNIQUE
550,0,,,0,0,ODD_CELL_UNIQUE
551,0,,,0,0,ODD_CELL_UNIQUE
