log10_L,count,sup_rho,inf_rho,sup_c,sup_eta,grew,declined,witness
33,31698,1.2223763683388932e+95,1.197612454709461e-31,3.796875000000001,1.5389560916059035e+224,8463,23235,"{""n"":1340927,""L"":1334593623869614967432833759056959,""H"":351252412149120285254509688634127487550008063837351555658698453108602205692808615682236559517781955934709286275346017223106129482453073658101283262993938908817861965598590209994233736316139995521263769874434923753631644434283357652980321103860028306292,""L_next"":592665514560380242522836981218527500786112690335559694602837653291520342940807260670704583681665128664979419422439794857934829,""r"":5,""rho"":4.4407938413639654e+92,""c"":3.796875000000001,""eta"":2.6319053670485422e+218}"
34,40794,7.769333908425184e+97,4.8402463829757765e-33,3.7968750000000004,6.035056355172904e+230,10827,29967,"{""n"":205381,""L"":31854635549492455946285712622970001,""H"":10196878393985776056421089823027767700495348846356872342585156198415701220350268242445759813678081304153879409241298045274684579903536749381772539936606951190759624746502201690331173907891825772098187289922830735036051465874542376358491294875573688956616390832370,""L_next"":100979593948410072107041592794615117087896350696859398138844594814140611281931008279483728425470551421171495045284256070766685633455,""r"":5,""rho"":3.170012533702304e+96,""c"":3.7968750000000004,""eta"":3.201065784646293e+227}"
35,19706,4.859040057863378e+100,1.0562055404018785e-33,3.7968750000000004,2.359182105379682e+237,5160,14546,"{""n"":388031,""L"":644367152681647984017820462589581059,""H"":84257138982775416395655467925753990152047934233971739139373362631973164717375789701168129691357637285752687301634620946760665024275861432237852431415432430018874174479004097639382023790782571229144929022882063345204170579908701483355216670973906169182868498148401381425014,""L_next"":9179168752276832196296178947340036003249087625779345253429930989961446427703750961521215980209455336653645951490025094317271898413353573,""r"":5,""rho"":1.4245246229693888e+100,""c"":3.7968750000000004,""eta"":1.307595190600955e+236}"
36,20961,3.0096874913539167e+103,4.324226109308888e-35,3.7968750000000004,9.29480545433779e+243,5515,15446,"{""n"":240773,""L"":6629118069144434802039588121917130533,""H"":4101376448495190878100357400572695237321359718484552756692700033685690966225426389858695182498108018928051002306476081391634717068788037636767282170129937461578717638268295575891497234420191372261485394933873503150520049224167195215822117281762929332262269433720811323950636758262,""L_next"":64041989729357963461576111695679071059355499492801454211150463059582750964943675207030311517497593828434761421638086420294741893251948758631,""r"":5,""rho"":9.66071037826957e+102,""c"":3.7968750000000004,""eta"":6.186911148234416e+242}"
37,25316,1.881149447561792e+106,1.4842089510588472e-35,3.7968750000000004,3.579236121120459e+250,6866,18450,"{""n"":620669,""L"":13066726801021833827187953399139313563,""H"":709400876635689840360459437674505976663089973631850732352839498376636786249702625071962360660461960472857142793761961468131179692172978833236224908574613764165987668703093772527625708270636412693889732757583864748171620937977091207810972739626790515751426695443524210069710004800428,""L_next"":842259387977177634237268114187821946895914175343918904784314009629088772283299222948149384564835301495340292299536526421053968745012074054481,""r"":5,""rho"":6.445832998600016e+103,""c"":3.7968750000000004,""eta"":5.4290633564039455e+244}"
38,30462,1.1889035553743072e+109,7.2543962743871444e-37,3.7968750000000004,1.4100300167588673e+257,8069,22393,"{""n"":1018027,""L"":311225336559389380534911482979696124815,""H"":20266925243307336875448079238150952985408854646259220869015607429701544579276474530237391597985931603333378317621991267454991627828319711568348465141658682176578581929018741580651297423724003252812737190830794046603397756106151568024996145481532464356096877373927144223697080302279012090869318,""L_next"":142361951529568942178253846487240776751778962243102641090077619467383912692818683525484995308321584148686478712940912746568229478080498574381693971,""r"":5,""rho"":4.574240423462529e+107,""c"":3.7968750000000004,""eta"":6.511977934495674e+253}"
39,31586,7.456191064755233e+111,3.1081430805801977e-38,3.7968750000000004,5.548125675826509e+263,8401,23185,"{""n"":268315,""L"":1350137198458698373233560870759587399665,""H"":1400577678233210426995970692789162235800973598503640854176652060077256468977537433769123362754085657423278534489647306014301135608205063944940672506420871190337437404762275563431704990977146374480650930543350215768950445652155095723463584248969419257550237648031452017438179765061176636566121419974,""L_next"":37424292621681046638218926674655942780196868351389353636864450387026512199697730285689144473114550571130076944602379576806935786467120401631326495545,""r"":5,""rho"":2.771888121029789e+109,""c"":3.7968750000000004,""eta"":1.0373595215598046e+258}"
40,30040,3.2899656336847326e+113,1.0782390631611053e-38,3.7968750000000004,4.517066337352646e+267,7719,22321,"{""n"":1209813,""L"":11067663436115489365389849938588154759853,""H"":12149259940886179538178947721549277499618791551811932886070001940634563585819610815090620894100757510874214053042123400145481557197305919828723416403420973555407418495684044338937684347642409212585119307787055573709680628928687971097500469593545584276515074315835955019269112654492794607818298914234281824,""L_next"":110223681397811149039403054510124406571495948428651143313027990075219361054772855607080634325494556323360583416116265379724491411870092111030710161318843,""r"":5,""rho"":9.959074201527878e+111,""c"":3.7968750000000004,""eta"":1.0977258218063692e+264}"
41,29562,2.0470470593811075e+64,1.044207589232171e-39,2.5312500000000004,4.181764200030478e+170,7270,22292,"{""n"":2300049,""L"":207589416884298490420468016890944205429735,""H"":147350417406316059603356275821703344927854774531555741438065203745925809207993804382601088803098463639573198369372864702648980466514644356843553817648571302136068229625600676907120113475714625636531764788633032,""L_next"":383862498046261429269936335358821666696839597586178483525103573090387865547028300580554301865302318676041,""r"":4,""rho"":1.8491429081869336e+63,""c"":2.5312500000000004,""eta"":7.098166159811649e+167}"
42,15456,6.968448211197909e+65,1.2338589017266471e-40,2.5312500000000004,4.8575489782310195e+174,3900,11556,"{""n"":43721,""L"":2167893788374784664043231463028269910153959,""H"":21192997165758008487423844352049958462758890673279329907723005614840891437298769413026685563694365845698540988469733598885961874286766419619693594843799335151189546061099359417749940154677999149765479839130324731422,""L_next"":145578147967880153573571219691545288699395290933441574754939241480592503573025350265153701235445293659670833,""r"":4,""rho"":6.715188204723646e+64,""c"":2.5312500000000004,""eta"":9.775846620994226e+171}"
