n,output,branch,defect,gcd_n_output,gcd_n_defect,gcd_output_defect,exact_equation_class
794,28,E,10,2,2,2,DELTA_10
796,28,E,12,4,4,4,DELTA_12
798,28,E,14,14,14,14,DELTA_14
800,28,E,16,4,16,4,DELTA_16
841,24389,O,0,841,841,24389,SQUARE
842,29,E,1,1,1,1,DELTA_1
844,29,E,3,1,1,1,DELTA_3
846,29,E,5,1,1,1,DELTA_5
848,29,E,7,1,1,1,DELTA_7
850,29,E,9,1,1,1,DELTA_9
852,29,E,11,1,1,1,DELTA_11
854,29,E,13,1,1,1,DELTA_13
856,29,E,15,1,1,1,DELTA_15
900,30,E,0,30,900,30,SQUARE
902,30,E,2,2,2,2,DELTA_2
904,30,E,4,2,4,2,DELTA_4
906,30,E,6,6,6,6,DELTA_6
908,30,E,8,2,4,2,DELTA_8
910,30,E,10,10,10,10,DELTA_10
912,30,E,12,6,12,6,DELTA_12
914,30,E,14,2,2,2,DELTA_14
916,30,E,16,2,4,2,DELTA_16
961,29791,O,0,961,961,29791,SQUARE
962,31,E,1,1,1,1,DELTA_1
964,31,E,3,1,1,1,DELTA_3
966,31,E,5,1,1,1,DELTA_5
968,31,E,7,1,1,1,DELTA_7
970,31,E,9,1,1,1,DELTA_9
972,31,E,11,1,1,1,DELTA_11
974,31,E,13,1,1,1,DELTA_13
976,31,E,15,1,1,1,DELTA_15
1024,32,E,0,32,1024,32,SQUARE
1026,32,E,2,2,2,2,DELTA_2
1028,32,E,4,4,4,4,DELTA_4
1030,32,E,6,2,2,2,DELTA_6
1032,32,E,8,8,8,8,DELTA_8
1034,32,E,10,2,2,2,DELTA_10
1036,32,E,12,4,4,4,DELTA_12
1038,32,E,14,2,2,2,DELTA_14
1040,32,E,16,16,16,16,DELTA_16
1089,35937,O,0,1089,1089,35937,SQUARE
1090,33,E,1,1,1,1,DELTA_1
1092,33,E,3,3,3,3,DELTA_3
1094,33,E,5,1,1,1,DELTA_5
1096,33,E,7,1,1,1,DELTA_7
1098,33,E,9,3,9,3,DELTA_9
1100,33,E,11,11,11,11,DELTA_11
1102,33,E,13,1,1,1,DELTA_13
1104,33,E,15,3,3,3,DELTA_15
1156,34,E,0,34,1156,34,SQUARE
1158,34,E,2,2,2,2,DELTA_2
1160,34,E,4,2,4,2,DELTA_4
1162,34,E,6,2,2,2,DELTA_6
1164,34,E,8,2,4,2,DELTA_8
1166,34,E,10,2,2,2,DELTA_10
1168,34,E,12,2,4,2,DELTA_12
1170,34,E,14,2,2,2,DELTA_14
1172,34,E,16,2,4,2,DELTA_16
1225,42875,O,0,1225,1225,42875,SQUARE
1226,35,E,1,1,1,1,DELTA_1
1228,35,E,3,1,1,1,DELTA_3
1230,35,E,5,5,5,5,DELTA_5
1232,35,E,7,7,7,7,DELTA_7
1234,35,E,9,1,1,1,DELTA_9
1236,35,E,11,1,1,1,DELTA_11
1238,35,E,13,1,1,1,DELTA_13
1240,35,E,15,5,5,5,DELTA_15
1296,36,E,0,36,1296,36,SQUARE
1298,36,E,2,2,2,2,DELTA_2
1300,36,E,4,4,4,4,DELTA_4
1302,36,E,6,6,6,6,DELTA_6
1304,36,E,8,4,8,4,DELTA_8
1306,36,E,10,2,2,2,DELTA_10
1308,36,E,12,12,12,12,DELTA_12
1310,36,E,14,2,2,2,DELTA_14
1312,36,E,16,4,16,4,DELTA_16
1369,50653,O,0,1369,1369,50653,SQUARE
1370,37,E,1,1,1,1,DELTA_1
1372,37,E,3,1,1,1,DELTA_3
1374,37,E,5,1,1,1,DELTA_5
1376,37,E,7,1,1,1,DELTA_7
1378,37,E,9,1,1,1,DELTA_9
1380,37,E,11,1,1,1,DELTA_11
1382,37,E,13,1,1,1,DELTA_13
1384,37,E,15,1,1,1,DELTA_15
1444,38,E,0,38,1444,38,SQUARE
1446,38,E,2,2,2,2,DELTA_2
1448,38,E,4,2,4,2,DELTA_4
1450,38,E,6,2,2,2,DELTA_6
1452,38,E,8,2,4,2,DELTA_8
1454,38,E,10,2,2,2,DELTA_10
1456,38,E,12,2,4,2,DELTA_12
1458,38,E,14,2,2,2,DELTA_14
1460,38,E,16,2,4,2,DELTA_16
1521,59319,O,0,1521,1521,59319,SQUARE
1522,39,E,1,1,1,1,DELTA_1
1524,39,E,3,3,3,3,DELTA_3
1526,39,E,5,1,1,1,DELTA_5
1528,39,E,7,1,1,1,DELTA_7
1530,39,E,9,3,9,3,DELTA_9
1532,39,E,11,1,1,1,DELTA_11
1534,39,E,13,13,13,13,DELTA_13
1536,39,E,15,3,3,3,DELTA_15
1600,40,E,0,40,1600,40,SQUARE
1602,40,E,2,2,2,2,DELTA_2
1604,40,E,4,4,4,4,DELTA_4
1606,40,E,6,2,2,2,DELTA_6
1608,40,E,8,8,8,8,DELTA_8
1610,40,E,10,10,10,10,DELTA_10
1612,40,E,12,4,4,4,DELTA_12
1614,40,E,14,2,2,2,DELTA_14
1616,40,E,16,8,16,8,DELTA_16
1681,68921,O,0,1681,1681,68921,SQUARE
1682,41,E,1,1,1,1,DELTA_1
1684,41,E,3,1,1,1,DELTA_3
1686,41,E,5,1,1,1,DELTA_5
1688,41,E,7,1,1,1,DELTA_7
1690,41,E,9,1,1,1,DELTA_9
1692,41,E,11,1,1,1,DELTA_11
1694,41,E,13,1,1,1,DELTA_13
1696,41,E,15,1,1,1,DELTA_15
1764,42,E,0,42,1764,42,SQUARE
1766,42,E,2,2,2,2,DELTA_2
1768,42,E,4,2,4,2,DELTA_4
1770,42,E,6,6,6,6,DELTA_6
1772,42,E,8,2,4,2,DELTA_8
1774,42,E,10,2,2,2,DELTA_10
1776,42,E,12,6,12,6,DELTA_12
1778,42,E,14,14,14,14,DELTA_14
1780,42,E,16,2,4,2,DELTA_16
1849,79507,O,0,1849,1849,79507,SQUARE
1850,43,E,1,1,1,1,DELTA_1
1852,43,E,3,1,1,1,DELTA_3
1854,43,E,5,1,1,1,DELTA_5
1856,43,E,7,1,1,1,DELTA_7
1858,43,E,9,1,1,1,DELTA_9
1860,43,E,11,1,1,1,DELTA_11
1862,43,E,13,1,1,1,DELTA_13
1864,43,E,15,1,1,1,DELTA_15
1936,44,E,0,44,1936,44,SQUARE
1938,44,E,2,2,2,2,DELTA_2
1940,44,E,4,4,4,4,DELTA_4
1942,44,E,6,2,2,2,DELTA_6
1944,44,E,8,4,8,4,DELTA_8
1946,44,E,10,2,2,2,DELTA_10
1948,44,E,12,4,4,4,DELTA_12
1950,44,E,14,2,2,2,DELTA_14
1952,44,E,16,4,16,4,DELTA_16
2025,91125,O,0,2025,2025,91125,SQUARE
2026,45,E,1,1,1,1,DELTA_1
2028,45,E,3,3,3,3,DELTA_3
2030,45,E,5,5,5,5,DELTA_5
2032,45,E,7,1,1,1,DELTA_7
2034,45,E,9,9,9,9,DELTA_9
2036,45,E,11,1,1,1,DELTA_11
2038,45,E,13,1,1,1,DELTA_13
2040,45,E,15,15,15,15,DELTA_15
2116,46,E,0,46,2116,46,SQUARE
2118,46,E,2,2,2,2,DELTA_2
2120,46,E,4,2,4,2,DELTA_4
2122,46,E,6,2,2,2,DELTA_6
2124,46,E,8,2,4,2,DELTA_8
2126,46,E,10,2,2,2,DELTA_10
2128,46,E,12,2,4,2,DELTA_12
2130,46,E,14,2,2,2,DELTA_14
2132,46,E,16,2,4,2,DELTA_16
2209,103823,O,0,2209,2209,103823,SQUARE
2210,47,E,1,1,1,1,DELTA_1
2212,47,E,3,1,1,1,DELTA_3
2214,47,E,5,1,1,1,DELTA_5
2216,47,E,7,1,1,1,DELTA_7
2218,47,E,9,1,1,1,DELTA_9
2220,47,E,11,1,1,1,DELTA_11
2222,47,E,13,1,1,1,DELTA_13
2224,47,E,15,1,1,1,DELTA_15
2304,48,E,0,48,2304,48,SQUARE
2306,48,E,2,2,2,2,DELTA_2
2308,48,E,4,4,4,4,DELTA_4
2310,48,E,6,6,6,6,DELTA_6
2312,48,E,8,8,8,8,DELTA_8
2314,48,E,10,2,2,2,DELTA_10
2316,48,E,12,12,12,12,DELTA_12
2318,48,E,14,2,2,2,DELTA_14
2320,48,E,16,16,16,16,DELTA_16
2401,117649,O,0,2401,2401,117649,SQUARE
2402,49,E,1,1,1,1,DELTA_1
2404,49,E,3,1,1,1,DELTA_3
2406,49,E,5,1,1,1,DELTA_5
2408,49,E,7,7,7,7,DELTA_7
2410,49,E,9,1,1,1,DELTA_9
2412,49,E,11,1,1,1,DELTA_11
2414,49,E,13,1,1,1,DELTA_13
2416,49,E,15,1,1,1,DELTA_15
2500,50,E,0,50,2500,50,SQUARE
2502,50,E,2,2,2,2,DELTA_2
2504,50,E,4,2,4,2,DELTA_4
