n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
281,0,281,O,4710,3941,5480,9421,0
282,0,282,E,16,26,7,33,0
283,0,283,O,4760,7587,1934,9521,0
284,0,284,E,16,28,5,33,0
285,0,285,O,4811,3404,6219,9623,0
286,0,286,E,16,30,3,33,0
287,0,287,O,4862,859,8866,9725,0
288,0,288,E,16,32,1,33,0
289,0,289,O,4913,0,9827,9827,1
290,0,290,E,17,1,34,35,0
291,0,291,O,4964,875,9054,9929,0
292,0,292,E,17,3,32,35,0
293,0,293,O,5015,3532,6499,10031,0
294,0,294,E,17,5,30,35,0
295,0,295,O,5066,8019,2114,10133,0
296,0,296,E,17,7,28,35,0
297,0,297,O,5118,4149,6088,10237,0
298,0,298,E,17,9,26,35,0
299,0,299,O,5170,1999,8342,10341,0
300,0,300,E,17,11,24,35,0
301,0,301,O,5222,1617,8828,10445,0
302,0,302,E,17,13,22,35,0
303,0,303,O,5274,3051,7498,10549,0
304,0,304,E,17,15,20,35,0
305,0,305,O,5326,6349,4304,10653,0
306,0,306,E,17,17,18,35,0
307,0,307,O,5379,802,9957,10759,0
308,0,308,E,17,19,16,35,0
309,0,309,O,5431,7868,2995,10863,0
310,0,310,E,17,21,14,35,0
311,0,311,O,5484,5975,4994,10969,0
312,0,312,E,17,23,12,35,0
313,0,313,O,5537,5928,5147,11075,0
314,0,314,E,17,25,10,35,0
315,0,315,O,5590,7775,3406,11181,0
316,0,316,E,17,27,8,35,0
317,0,317,O,5644,277,11012,11289,0
318,0,318,E,17,29,6,35,0
319,0,319,O,5697,5950,5445,11395,0
320,0,320,E,17,31,4,35,0
321,0,321,O,5751,2160,9343,11503,0
322,0,322,E,17,33,2,35,0
323,0,323,O,5805,242,11369,11611,0
324,0,324,E,18,0,37,37,1
325,0,325,O,5859,244,11475,11719,0
326,0,326,E,18,2,35,37,0
327,0,327,O,5913,2214,9613,11827,0
328,0,328,E,18,4,33,37,0
329,0,329,O,5967,6200,5735,11935,0
330,0,330,E,18,6,31,37,0
331,0,331,O,6022,207,11838,12045,0
332,0,332,E,18,8,29,37,0
333,0,333,O,6076,8261,3892,12153,0
334,0,334,E,18,10,27,37,0
335,0,335,O,6131,6214,6049,12263,0
336,0,336,E,18,12,25,37,0
337,0,337,O,6186,6157,6216,12373,0
338,0,338,E,18,14,23,37,0
339,0,339,O,6241,8138,4345,12483,0
340,0,340,E,18,16,21,37,0
341,0,341,O,6296,12205,388,12593,0
342,0,342,E,18,18,19,37,0
343,0,343,O,6352,5703,7002,12705,0
344,0,344,E,18,20,17,37,0
345,0,345,O,6408,1161,11656,12817,0
346,0,346,E,18,22,15,37,0
347,0,347,O,6463,11554,1373,12927,0
348,0,348,E,18,24,13,37,0
349,0,349,O,6519,11188,1851,13039,0
350,0,350,E,18,26,11,37,0
351,0,351,O,6575,12926,225,13151,0
352,0,352,E,18,28,9,37,0
353,0,353,O,6632,3553,9712,13265,0
354,0,354,E,18,30,7,37,0
355,0,355,O,6688,9531,3846,13377,0
356,0,356,E,18,32,5,37,0
357,0,357,O,6745,4268,9223,13491,0
358,0,358,E,18,34,3,37,0
359,0,359,O,6802,1075,12530,13605,0
360,0,360,E,18,36,1,37,0
361,0,361,O,6859,0,13719,13719,1
362,0,362,E,19,1,38,39,0
363,0,363,O,6916,1091,12742,13833,0
364,0,364,E,19,3,36,39,0
365,0,365,O,6973,4396,9551,13947,0
366,0,366,E,19,5,34,39,0
367,0,367,O,7030,9963,4098,14061,0
368,0,368,E,19,7,32,39,0
369,0,369,O,7088,3665,10512,14177,0
370,0,370,E,19,9,30,39,0
371,0,371,O,7145,13786,505,14291,0
372,0,372,E,19,11,28,39,0
373,0,373,O,7203,11908,2499,14407,0
374,0,374,E,19,13,26,39,0
375,0,375,O,7261,12254,2269,14523,0
376,0,376,E,19,15,24,39,0
377,0,377,O,7320,233,14408,14641,0
378,0,378,E,19,17,22,39,0
379,0,379,O,7378,5055,9702,14757,0
380,0,380,E,19,19,20,39,0
381,0,381,O,7436,12245,2628,14873,0
382,0,382,E,19,21,18,39,0
383,0,383,O,7495,6862,8129,14991,0
384,0,384,E,19,23,16,39,0
385,0,385,O,7554,3709,11400,15109,0
