n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
1364,0,1364,E,36,68,5,73,0
1365,0,1365,O,50431,16364,84499,100863,0
1366,0,1366,E,36,70,3,73,0
1367,0,1367,O,50542,4099,96986,101085,0
1368,0,1368,E,36,72,1,73,0
1369,0,1369,O,50653,0,101307,101307,1
1370,0,1370,E,37,1,74,75,0
1371,0,1371,O,50764,4115,97414,101529,0
1372,0,1372,E,37,3,72,75,0
1373,0,1373,O,50875,16492,85259,101751,0
1374,0,1374,E,37,5,70,75,0
1375,0,1375,O,50986,37179,64794,101973,0
1376,0,1376,E,37,7,68,75,0
1377,0,1377,O,51097,66224,35971,102195,0
1378,0,1378,E,37,9,66,75,0
1379,0,1379,O,51209,1258,101161,102419,0
1380,0,1380,E,37,11,64,75,0
1381,0,1381,O,51320,46941,55700,102641,0
1382,0,1382,E,37,13,62,75,0
1383,0,1383,O,51431,101126,1737,102863,0
1384,0,1384,E,37,15,60,75,0
1385,0,1385,O,51543,60776,42311,103087,0
1386,0,1386,E,37,17,58,75,0
1387,0,1387,O,51655,28578,74733,103311,0
1388,0,1388,E,37,19,56,75,0
1389,0,1389,O,51767,4580,98955,103535,0
1390,0,1390,E,37,21,54,75,0
1391,0,1391,O,51878,92587,11170,103757,0
1392,0,1392,E,37,23,52,75,0
1393,0,1393,O,51990,85357,18624,103981,0
1394,0,1394,E,37,25,50,75,0
1395,0,1395,O,52102,86471,17734,104205,0
1396,0,1396,E,37,27,48,75,0
1397,0,1397,O,52214,95977,8452,104429,0
1398,0,1398,E,37,29,46,75,0
1399,0,1399,O,52327,9270,95385,104655,0
1400,0,1400,E,37,31,44,75,0
1401,0,1401,O,52439,35480,69399,104879,0
1402,0,1402,E,37,33,42,75,0
1403,0,1403,O,52551,70226,34877,105103,0
1404,0,1404,E,37,35,40,75,0
1405,0,1405,O,52664,8229,97100,105329,0
1406,0,1406,E,37,37,38,75,0
1407,0,1407,O,52776,59967,45586,105553,0
1408,0,1408,E,37,39,36,75,0
1409,0,1409,O,52889,14608,91171,105779,0
1410,0,1410,E,37,41,34,75,0
1411,0,1411,O,53001,83530,22473,106003,0
1412,0,1412,E,37,43,32,75,0
1413,0,1413,O,53114,55001,51228,106229,0
1414,0,1414,E,37,45,30,75,0
1415,0,1415,O,53227,34846,71609,106455,0
1416,0,1416,E,37,47,28,75,0
1417,0,1417,O,53340,23113,83568,106681,0
1418,0,1418,E,37,49,26,75,0
1419,0,1419,O,53453,19850,87057,106907,0
1420,0,1420,E,37,51,24,75,0
1421,0,1421,O,53566,25105,82028,107133,0
1422,0,1422,E,37,53,22,75,0
1423,0,1423,O,53679,38926,68433,107359,0
1424,0,1424,E,37,55,20,75,0
1425,0,1425,O,53792,61361,46224,107585,0
1426,0,1426,E,37,57,18,75,0
1427,0,1427,O,53905,92458,15353,107811,0
1428,0,1428,E,37,59,16,75,0
1429,0,1429,O,54019,24228,83811,108039,0
1430,0,1430,E,37,61,14,75,0
1431,0,1431,O,54132,72567,35698,108265,0
1432,0,1432,E,37,63,12,75,0
1433,0,1433,O,54246,21221,87272,108493,0
1434,0,1434,E,37,65,10,75,0
1435,0,1435,O,54359,86994,21725,108719,0
1436,0,1436,E,37,67,8,75,0
1437,0,1437,O,54473,52724,56223,108947,0
1438,0,1438,E,37,69,6,75,0
1439,0,1439,O,54587,26950,82225,109175,0
1440,0,1440,E,37,71,4,75,0
1441,0,1441,O,54701,9720,99683,109403,0
1442,0,1442,E,37,73,2,75,0
1443,0,1443,O,54815,1082,108549,109631,0
1444,0,1444,E,38,0,77,77,1
1445,0,1445,O,54929,1084,108775,109859,0
1446,0,1446,E,38,2,75,77,0
1447,0,1447,O,55043,9774,100313,110087,0
1448,0,1448,E,38,4,73,77,0
1449,0,1449,O,55157,27200,83115,110315,0
1450,0,1450,E,38,6,71,77,0
1451,0,1451,O,55271,53410,57133,110543,0
1452,0,1452,E,38,8,69,77,0
1453,0,1453,O,55385,88452,22319,110771,0
1454,0,1454,E,38,10,67,77,0
1455,0,1455,O,55500,21375,89626,111001,0
1456,0,1456,E,38,12,65,77,0
1457,0,1457,O,55614,73997,37232,111229,0
1458,0,1458,E,38,14,63,77,0
1459,0,1459,O,55729,24138,87321,111459,0
1460,0,1460,E,38,16,61,77,0
1461,0,1461,O,55843,94532,17155,111687,0
1462,0,1462,E,38,18,59,77,0
1463,0,1463,O,55958,62083,49834,111917,0
1464,0,1464,E,38,20,57,77,0
1465,0,1465,O,56073,38296,73851,112147,0
1466,0,1466,E,38,22,55,77,0
1467,0,1467,O,56188,23219,89158,112377,0
1468,0,1468,E,38,24,53,77,0
1469,0,1469,O,56303,16900,95707,112607,0
1470,0,1470,E,38,26,51,77,0
1471,0,1471,O,56418,19387,93450,112837,0
1472,0,1472,E,38,28,49,77,0
1473,0,1473,O,56533,30728,82339,113067,0
1474,0,1474,E,38,30,47,77,0
1475,0,1475,O,56648,50971,62326,113297,0
1476,0,1476,E,38,32,45,77,0
1477,0,1477,O,56763,80164,33363,113527,0
1478,0,1478,E,38,34,43,77,0
1479,0,1479,O,56879,4598,109161,113759,0
1480,0,1480,E,38,36,41,77,0
1481,0,1481,O,56994,51605,62384,113989,0
1482,0,1482,E,38,38,39,77,0
1483,0,1483,O,57109,107706,6513,114219,0
1484,0,1484,E,38,40,37,77,0
1485,0,1485,O,57225,58500,55951,114451,0
1486,0,1486,E,38,42,35,77,0
1487,0,1487,O,57341,18022,96661,114683,0
1488,0,1488,E,38,44,33,77,0
1489,0,1489,O,57456,101233,13680,114913,0
1490,0,1490,E,38,46,31,77,0
1491,0,1491,O,57572,78587,36558,115145,0
1492,0,1492,E,38,48,29,77,0
1493,0,1493,O,57688,64813,50564,115377,0
1494,0,1494,E,38,50,27,77,0
1495,0,1495,O,57804,59959,55650,115609,0
1496,0,1496,E,38,52,25,77,0
1497,0,1497,O,57920,64073,51768,115841,0
1498,0,1498,E,38,54,23,77,0
1499,0,1499,O,58036,77203,38870,116073,0
1500,0,1500,E,38,56,21,77,0
1501,0,1501,O,58152,99397,16908,116305,0
1502,0,1502,E,38,58,19,77,0
1503,0,1503,O,58269,14166,102373,116539,0
1504,0,1504,E,38,60,17,77,0
1505,0,1505,O,58385,54400,62371,116771,0
1506,0,1506,E,38,62,15,77,0
1507,0,1507,O,58501,103842,13161,117003,0
1508,0,1508,E,38,64,13,77,0
1509,0,1509,O,58618,45305,71932,117237,0
1510,0,1510,E,38,66,11,77,0
1511,0,1511,O,58734,113075,4394,117469,0
1512,0,1512,E,38,68,9,77,0
1513,0,1513,O,58851,72496,45207,117703,0
1514,0,1514,E,38,70,7,77,0
1515,0,1515,O,58968,40851,77086,117937,0
1516,0,1516,E,38,72,5,77,0
1517,0,1517,O,59085,18188,99983,118171,0
1518,0,1518,E,38,74,3,77,0
1519,0,1519,O,59202,4555,113850,118405,0
1520,0,1520,E,38,76,1,77,0
1521,0,1521,O,59319,0,118639,118639,1
1522,0,1522,E,39,1,78,79,0
1523,0,1523,O,59436,4571,114302,118873,0
1524,0,1524,E,39,3,76,79,0
1525,0,1525,O,59553,18316,100791,119107,0
1526,0,1526,E,39,5,74,79,0
1527,0,1527,O,59670,41283,78058,119341,0
1528,0,1528,E,39,7,72,79,0
1529,0,1529,O,59787,73520,46055,119575,0
1530,0,1530,E,39,9,70,79,0
1531,0,1531,O,59904,115075,4734,119809,0
1532,0,1532,E,39,11,68,79,0
1533,0,1533,O,60022,45953,74092,120045,0
1534,0,1534,E,39,13,66,79,0
1535,0,1535,O,60139,106054,14225,120279,0
1536,0,1536,E,39,15,64,79,0
1537,0,1537,O,60257,55104,65411,120515,0
1538,0,1538,E,39,17,62,79,0
1539,0,1539,O,60375,13194,107557,120751,0
1540,0,1540,E,39,19,60,79,0
1541,0,1541,O,60492,101357,19628,120985,0
1542,0,1542,E,39,21,58,79,0
1543,0,1543,O,60610,77907,43314,121221,0
1544,0,1544,E,39,23,56,79,0
1545,0,1545,O,60728,63641,57816,121457,0
1546,0,1546,E,39,25,54,79,0
1547,0,1547,O,60846,58607,63086,121693,0
1548,0,1548,E,39,27,52,79,0
1549,0,1549,O,60964,62853,59076,121929,0
1550,0,1550,E,39,29,50,79,0
1551,0,1551,O,61082,76427,45738,122165,0
1552,0,1552,E,39,31,48,79,0
1553,0,1553,O,61200,99377,23024,122401,0
1554,0,1554,E,39,33,46,79,0
1555,0,1555,O,61319,9114,113525,122639,0
1556,0,1556,E,39,35,44,79,0
1557,0,1557,O,61437,50724,72151,122875,0
1558,0,1558,E,39,37,42,79,0
1559,0,1559,O,61555,101854,21257,123111,0
1560,0,1560,E,39,39,40,79,0
1561,0,1561,O,61674,39205,84144,123349,0
1562,0,1562,E,39,41,38,79,0
1563,0,1563,O,61792,109283,14302,123585,0
1564,0,1564,E,39,43,36,79,0
1565,0,1565,O,61911,65204,58619,123823,0
1566,0,1566,E,39,45,34,79,0
1567,0,1567,O,62030,30363,93698,124061,0
1568,0,1568,E,39,47,32,79,0
1569,0,1569,O,62149,4808,119491,124299,0
1570,0,1570,E,39,49,30,79,0
1571,0,1571,O,62267,113122,11413,124535,0
1572,0,1572,E,39,51,28,79,0
1573,0,1573,O,62386,106521,18252,124773,0
1574,0,1574,E,39,53,26,79,0
1575,0,1575,O,62505,109350,15661,125011,0
1576,0,1576,E,39,55,24,79,0
1577,0,1577,O,62624,121657,3592,125249,0
1578,0,1578,E,39,57,22,79,0
1579,0,1579,O,62744,18003,107486,125489,0
1580,0,1580,E,39,59,20,79,0
1581,0,1581,O,62863,49172,76555,125727,0
1582,0,1582,E,39,61,18,79,0
1583,0,1583,O,62982,89963,36002,125965,0
1584,0,1584,E,39,63,16,79,0
1585,0,1585,O,63102,14221,111984,126205,0
1586,0,1586,E,39,65,14,79,0
1587,0,1587,O,63221,74162,52281,126443,0
1588,0,1588,E,39,67,12,79,0
1589,0,1589,O,63341,17188,109495,126683,0
1590,0,1590,E,39,69,10,79,0
1591,0,1591,O,63460,96471,30450,126921,0
1592,0,1592,E,39,71,8,79,0
1593,0,1593,O,63580,58457,68704,127161,0
1594,0,1594,E,39,73,6,79,0
1595,0,1595,O,63700,29875,97526,127401,0
1596,0,1596,E,39,75,4,79,0
1597,0,1597,O,63820,10773,116868,127641,0
1598,0,1598,E,39,77,2,79,0
1599,0,1599,O,63940,1199,126682,127881,0
1600,0,1600,E,40,0,81,81,1
1601,0,1601,O,64060,1201,126920,128121,0
1602,0,1602,E,40,2,79,81,0
1603,0,1603,O,64180,10827,117534,128361,0
1604,0,1604,E,40,4,77,81,0
1605,0,1605,O,64300,30125,98476,128601,0
1606,0,1606,E,40,6,75,81,0
1607,0,1607,O,64420,59143,69698,128841,0
1608,0,1608,E,40,8,73,81,0
1609,0,1609,O,64540,97929,31152,129081,0
1610,0,1610,E,40,10,71,81,0
1611,0,1611,O,64661,17210,112113,129323,0
1612,0,1612,E,40,12,69,81,0
1613,0,1613,O,64781,75436,54127,129563,0
1614,0,1614,E,40,14,67,81,0
1615,0,1615,O,64902,13771,116034,129805,0
1616,0,1616,E,40,16,65,81,0
1617,0,1617,O,65022,91629,38416,130045,0
1618,0,1618,E,40,18,63,81,0
1619,0,1619,O,65143,49210,81077,130287,0
1620,0,1620,E,40,20,61,81,0
1621,0,1621,O,65264,16365,114164,130529,0
1622,0,1622,E,40,22,59,81,0
1623,0,1623,O,65384,123911,6858,130769,0
1624,0,1624,E,40,24,57,81,0
1625,0,1625,O,65505,110600,20411,131011,0
1626,0,1626,E,40,26,55,81,0
1627,0,1627,O,65626,107007,24246,131253,0
1628,0,1628,E,40,28,53,81,0
1629,0,1629,O,65747,113180,18315,131495,0
1630,0,1630,E,40,30,51,81,0
1631,0,1631,O,65868,129167,2570,131737,0
1632,0,1632,E,40,32,49,81,0
1633,0,1633,O,65990,23037,108944,131981,0
1634,0,1634,E,40,34,47,81,0
1635,0,1635,O,66111,58554,73669,132223,0
1636,0,1636,E,40,36,45,81,0
1637,0,1637,O,66232,104029,28436,132465,0
1638,0,1638,E,40,38,43,81,0
1639,0,1639,O,66354,26803,105906,132709,0
1640,0,1640,E,40,40,41,81,0
1641,0,1641,O,66475,92096,40855,132951,0
1642,0,1642,E,40,42,39,81,0
1643,0,1643,O,66597,34298,98897,133195,0
1644,0,1644,E,40,44,37,81,0
1645,0,1645,O,66718,119601,13836,133437,0
1646,0,1646,E,40,46,35,81,0
1647,0,1647,O,66840,81423,52258,133681,0
1648,0,1648,E,40,48,33,81,0
1649,0,1649,O,66962,53005,80920,133925,0
1650,0,1650,E,40,50,31,81,0
1651,0,1651,O,67084,34395,99774,134169,0
1652,0,1652,E,40,52,29,81,0
1653,0,1653,O,67206,25641,108772,134413,0
1654,0,1654,E,40,54,27,81,0
1655,0,1655,O,67328,26791,107866,134657,0
1656,0,1656,E,40,56,25,81,0
1657,0,1657,O,67450,37893,97008,134901,0
1658,0,1658,E,40,58,23,81,0
1659,0,1659,O,67572,58995,76150,135145,0
1660,0,1660,E,40,60,21,81,0
1661,0,1661,O,67694,90145,45244,135389,0
1662,0,1662,E,40,62,19,81,0
1663,0,1663,O,67816,131391,4242,135633,0
1664,0,1664,E,40,64,17,81,0
1665,0,1665,O,67939,46904,88975,135879,0
1666,0,1666,E,40,66,15,81,0
1667,0,1667,O,68061,108242,27881,136123,0
1668,0,1668,E,40,68,13,81,0
1669,0,1669,O,68184,43453,92916,136369,0
1670,0,1670,E,40,70,11,81,0
1671,0,1671,O,68306,125075,11538,136613,0
1672,0,1672,E,40,72,9,81,0
1673,0,1673,O,68429,80176,56683,136859,0
1674,0,1674,E,40,74,7,81,0
1675,0,1675,O,68552,45171,91934,137105,0
1676,0,1676,E,40,76,5,81,0
1677,0,1677,O,68675,20108,117243,137351,0
1678,0,1678,E,40,78,3,81,0
1679,0,1679,O,68798,5035,132562,137597,0
1680,0,1680,E,40,80,1,81,0
1681,0,1681,O,68921,0,137843,137843,1
1682,0,1682,E,41,1,82,83,0
1683,0,1683,O,69044,5051,133038,138089,0
1684,0,1684,E,41,3,80,83,0
1685,0,1685,O,69167,20236,118099,138335,0
1686,0,1686,E,41,5,78,83,0
1687,0,1687,O,69290,45603,92978,138581,0
1688,0,1688,E,41,7,76,83,0
1689,0,1689,O,69413,81200,57627,138827,0
1690,0,1690,E,41,9,74,83,0
1691,0,1691,O,69536,127075,11998,139073,0
1692,0,1692,E,41,11,72,83,0
1693,0,1693,O,69660,43957,95364,139321,0
1694,0,1694,E,41,13,70,83,0
1695,0,1695,O,69783,110286,29281,139567,0
1696,0,1696,E,41,15,68,83,0
1697,0,1697,O,69907,47224,92591,139815,0
1698,0,1698,E,41,17,66,83,0
1699,0,1699,O,70030,134199,5862,140061,0
1700,0,1700,E,41,19,64,83,0
1701,0,1701,O,70154,91385,48924,140309,0
1702,0,1702,E,41,21,62,83,0
1703,0,1703,O,70278,58643,81914,140557,0
1704,0,1704,E,41,23,60,83,0
1705,0,1705,O,70402,36021,104784,140805,0
1706,0,1706,E,41,25,58,83,0
1707,0,1707,O,70526,23567,117486,141053,0
1708,0,1708,E,41,27,56,83,0
1709,0,1709,O,70650,21329,119972,141301,0
1710,0,1710,E,41,29,54,83,0
1711,0,1711,O,70774,29355,112194,141549,0
1712,0,1712,E,41,31,52,83,0
1713,0,1713,O,70898,47693,94104,141797,0
1714,0,1714,E,41,33,50,83,0
1715,0,1715,O,71022,76391,65654,142045,0
1716,0,1716,E,41,35,48,83,0
1717,0,1717,O,71146,115497,26796,142293,0
1718,0,1718,E,41,37,46,83,0
1719,0,1719,O,71271,22518,120025,142543,0
1720,0,1720,E,41,39,44,83,0
1721,0,1721,O,71395,82336,60455,142791,0
1722,0,1722,E,41,41,42,83,0
1723,0,1723,O,71520,9667,133374,143041,0
1724,0,1724,E,41,43,40,83,0
1725,0,1725,O,71644,90389,52900,143289,0
1726,0,1726,E,41,45,38,83,0
1727,0,1727,O,71769,38222,105317,143539,0
1728,0,1728,E,41,47,36,83,0
1729,0,1729,O,71893,140040,3747,143787,0
1730,0,1730,E,41,49,34,83,0
1731,0,1731,O,72018,108567,35470,144037,0
1732,0,1732,E,41,51,32,83,0
1733,0,1733,O,72143,87388,56899,144287,0
1734,0,1734,E,41,53,30,83,0
1735,0,1735,O,72268,76551,67986,144537,0
1736,0,1736,E,41,55,28,83,0
1737,0,1737,O,72393,76104,68683,144787,0
1738,0,1738,E,41,57,26,83,0
1739,0,1739,O,72518,86095,58942,145037,0
1740,0,1740,E,41,59,24,83,0
1741,0,1741,O,72643,106572,38715,145287,0
1742,0,1742,E,41,61,22,83,0
1743,0,1743,O,72768,137583,7954,145537,0
1744,0,1744,E,41,63,20,83,0
1745,0,1745,O,72894,33389,112400,145789,0
1746,0,1746,E,41,65,18,83,0
1747,0,1747,O,73019,85362,60677,146039,0
1748,0,1748,E,41,67,16,83,0
1749,0,1749,O,73145,1724,144567,146291,0
1750,0,1750,E,41,69,14,83,0
1751,0,1751,O,73270,74851,71690,146541,0
1752,0,1752,E,41,71,12,83,0
1753,0,1753,O,73396,11961,134832,146793,0
1754,0,1754,E,41,73,10,83,0
1755,0,1755,O,73521,106434,40609,147043,0
1756,0,1756,E,41,75,8,83,0
1757,0,1757,O,73647,64484,82811,147295,0
1758,0,1758,E,41,77,6,83,0
1759,0,1759,O,73773,32950,114597,147547,0
1760,0,1760,E,41,79,4,83,0
1761,0,1761,O,73899,11880,135919,147799,0
1762,0,1762,E,41,81,2,83,0
1763,0,1763,O,74025,1322,146729,148051,0
1764,0,1764,E,42,0,85,85,1
1765,0,1765,O,74151,1324,146979,148303,0
1766,0,1766,E,42,2,83,85,0
1767,0,1767,O,74277,11934,136621,148555,0
1768,0,1768,E,42,4,81,85,0
1769,0,1769,O,74403,33200,115607,148807,0
1770,0,1770,E,42,6,79,85,0
1771,0,1771,O,74529,65170,83889,149059,0
1772,0,1772,E,42,8,77,85,0
1773,0,1773,O,74655,107892,41419,149311,0
1774,0,1774,E,42,10,75,85,0
1775,0,1775,O,74782,11851,137714,149565,0
1776,0,1776,E,42,12,73,85,0
1777,0,1777,O,74908,75969,73848,149817,0
1778,0,1778,E,42,14,71,85,0
1779,0,1779,O,75035,914,149157,150071,0
1780,0,1780,E,42,16,69,85,0
1781,0,1781,O,75161,86620,63703,150323,0
1782,0,1782,E,42,18,67,85,0
1783,0,1783,O,75288,32743,117834,150577,0
1784,0,1784,E,42,20,65,85,0
1785,0,1785,O,75414,140229,10600,150829,0
1786,0,1786,E,42,22,63,85,0
1787,0,1787,O,75541,107722,43361,151083,0
1788,0,1788,E,42,24,61,85,0
1789,0,1789,O,75668,85845,65492,151337,0
1790,0,1790,E,42,26,59,85,0
1791,0,1791,O,75795,74646,76945,151591,0
1792,0,1792,E,42,28,57,85,0
1793,0,1793,O,75922,74173,77672,151845,0
1794,0,1794,E,42,30,55,85,0
1795,0,1795,O,76049,84474,67625,152099,0
1796,0,1796,E,42,32,53,85,0
1797,0,1797,O,76176,105597,46756,152353,0
1798,0,1798,E,42,34,51,85,0
1799,0,1799,O,76303,137590,15017,152607,0
1800,0,1800,E,42,36,49,85,0
1801,0,1801,O,76431,27640,125223,152863,0
1802,0,1802,E,42,38,47,85,0
1803,0,1803,O,76558,81263,71854,153117,0
1804,0,1804,E,42,40,45,85,0
1805,0,1805,O,76685,145900,7471,153371,0
1806,0,1806,E,42,42,43,85,0
1807,0,1807,O,76813,67974,85653,153627,0
1808,0,1808,E,42,44,41,85,0
1809,0,1809,O,76941,648,153235,153883,0
1810,0,1810,E,42,46,39,85,0
1811,0,1811,O,77068,98107,56030,154137,0
1812,0,1812,E,42,48,37,85,0
1813,0,1813,O,77196,52381,102012,154393,0
1814,0,1814,E,42,50,35,85,0
1815,0,1815,O,77324,17399,137250,154649,0
1816,0,1816,E,42,52,33,85,0
1817,0,1817,O,77451,148112,6791,154903,0
1818,0,1818,E,42,54,31,85,0
1819,0,1819,O,77579,135018,20141,155159,0
1820,0,1820,E,42,56,29,85,0
1821,0,1821,O,77707,132812,22603,155415,0
1822,0,1822,E,42,58,27,85,0
1823,0,1823,O,77835,141542,14129,155671,0
1824,0,1824,E,42,60,25,85,0
1825,0,1825,O,77964,5329,150600,155929,0
1826,0,1826,E,42,62,23,85,0
1827,0,1827,O,78092,35819,120366,156185,0
1828,0,1828,E,42,64,21,85,0
1829,0,1829,O,78220,77389,79052,156441,0
1830,0,1830,E,42,66,19,85,0
1831,0,1831,O,78348,130087,26610,156697,0
1832,0,1832,E,42,68,17,85,0
1833,0,1833,O,78477,37008,119947,156955,0
1834,0,1834,E,42,70,15,85,0
1835,0,1835,O,78605,111850,45361,157211,0
1836,0,1836,E,42,72,13,85,0
1837,0,1837,O,78734,40497,116972,157469,0
1838,0,1838,E,42,74,11,85,0
1839,0,1839,O,78862,137675,20050,157725,0
1840,0,1840,E,42,76,9,85,0
1841,0,1841,O,78991,88240,69743,157983,0
1842,0,1842,E,42,78,7,85,0
1843,0,1843,O,79120,49707,108534,158241,0
1844,0,1844,E,42,80,5,85,0
1845,0,1845,O,79249,22124,136375,158499,0
1846,0,1846,E,42,82,3,85,0
1847,0,1847,O,79378,5539,153218,158757,0
1848,0,1848,E,42,84,1,85,0
1849,0,1849,O,79507,0,159015,159015,1
1850,0,1850,E,43,1,86,87,0
1851,0,1851,O,79636,5555,153718,159273,0
1852,0,1852,E,43,3,84,87,0
1853,0,1853,O,79765,22252,137279,159531,0
1854,0,1854,E,43,5,82,87,0
1855,0,1855,O,79894,50139,109650,159789,0
1856,0,1856,E,43,7,80,87,0
1857,0,1857,O,80023,89264,70783,160047,0
1858,0,1858,E,43,9,78,87,0
1859,0,1859,O,80152,139675,20630,160305,0
1860,0,1860,E,43,11,76,87,0
1861,0,1861,O,80282,40857,119708,160565,0
1862,0,1862,E,43,13,74,87,0
1863,0,1863,O,80411,113726,47097,160823,0
1864,0,1864,E,43,15,72,87,0
1865,0,1865,O,80541,36944,124139,161083,0
1866,0,1866,E,43,17,70,87,0
1867,0,1867,O,80670,132463,28878,161341,0
1868,0,1868,E,43,19,68,87,0
1869,0,1869,O,80800,77909,83692,161601,0
1870,0,1870,E,43,21,66,87,0
1871,0,1871,O,80930,34411,127450,161861,0
1872,0,1872,E,43,23,64,87,0
1873,0,1873,O,81060,2017,160104,162121,0
1874,0,1874,E,43,25,62,87,0
1875,0,1875,O,81189,143154,19225,162379,0
1876,0,1876,E,43,27,60,87,0
1877,0,1877,O,81319,133372,29267,162639,0
1878,0,1878,E,43,29,58,87,0
1879,0,1879,O,81449,134838,28061,162899,0
1880,0,1880,E,43,31,56,87,0
1881,0,1881,O,81579,147600,15559,163159,0
1882,0,1882,E,43,33,54,87,0
1883,0,1883,O,81710,8287,155134,163421,0
1884,0,1884,E,43,35,52,87,0
1885,0,1885,O,81840,43525,120156,163681,0
1886,0,1886,E,43,37,50,87,0
1887,0,1887,O,81970,90203,73738,163941,0
1888,0,1888,E,43,39,48,87,0
1889,0,1889,O,82100,148369,15832,164201,0
1890,0,1890,E,43,41,46,87,0
1891,0,1891,O,82231,53610,110853,164463,0
1892,0,1892,E,43,43,44,87,0
1893,0,1893,O,82361,134636,30087,164723,0
1894,0,1894,E,43,45,42,87,0
1895,0,1895,O,82492,62311,102674,164985,0
1896,0,1896,E,43,47,40,87,0
1897,0,1897,O,82623,1144,164103,165247,0
1898,0,1898,E,43,49,38,87,0
1899,0,1899,O,82753,116690,48817,165507,0
1900,0,1900,E,43,51,36,87,0
1901,0,1901,O,82884,78245,87524,165769,0
1902,0,1902,E,43,53,34,87,0
1903,0,1903,O,83015,51102,114929,166031,0
1904,0,1904,E,43,55,32,87,0
1905,0,1905,O,83146,35309,130984,166293,0
1906,0,1906,E,43,57,30,87,0
1907,0,1907,O,83277,30914,135641,166555,0
1908,0,1908,E,43,59,28,87,0
1909,0,1909,O,83408,37965,128852,166817,0
1910,0,1910,E,43,61,26,87,0
1911,0,1911,O,83539,56510,110569,167079,0
1912,0,1912,E,43,63,24,87,0
1913,0,1913,O,83670,86597,80744,167341,0
1914,0,1914,E,43,65,22,87,0
1915,0,1915,O,83801,128274,39329,167603,0
1916,0,1916,E,43,67,20,87,0
1917,0,1917,O,83933,13724,154143,167867,0
1918,0,1918,E,43,69,18,87,0
1919,0,1919,O,84064,78463,89666,168129,0
1920,0,1920,E,43,71,16,87,0
1921,0,1921,O,84195,154936,13455,168391,0
1922,0,1922,E,43,73,14,87,0
1923,0,1923,O,84327,74538,94117,168655,0
1924,0,1924,E,43,75,12,87,0
1925,0,1925,O,84459,5444,163475,168919,0
1926,0,1926,E,43,77,10,87,0
1927,0,1927,O,84590,116883,52298,169181,0
1928,0,1928,E,43,79,8,87,0
1929,0,1929,O,84722,70805,98640,169445,0
1930,0,1930,E,43,81,6,87,0
1931,0,1931,O,84854,36175,133534,169709,0
1932,0,1932,E,43,83,4,87,0
1933,0,1933,O,84986,13041,156932,169973,0
1934,0,1934,E,43,85,2,87,0
1935,0,1935,O,85118,1451,168786,170237,0
1936,0,1936,E,44,0,89,89,1
1937,0,1937,O,85250,1453,169048,170501,0
1938,0,1938,E,44,2,87,89,0
1939,0,1939,O,85382,13095,157670,170765,0
1940,0,1940,E,44,4,85,89,0
1941,0,1941,O,85514,36425,134604,171029,0
1942,0,1942,E,44,6,83,89,0
1943,0,1943,O,85646,71491,99802,171293,0
1944,0,1944,E,44,8,81,89,0
1945,0,1945,O,85778,118341,53216,171557,0
1946,0,1946,E,44,10,79,89,0
1947,0,1947,O,85911,5202,166621,171823,0
1948,0,1948,E,44,12,77,89,0
1949,0,1949,O,86043,75500,96587,172087,0
1950,0,1950,E,44,14,75,89,0
1951,0,1951,O,86175,157726,14625,172351,0
1952,0,1952,E,44,16,73,89,0
1953,0,1953,O,86308,79313,93304,172617,0
1954,0,1954,E,44,18,71,89,0
1955,0,1955,O,86441,12394,160489,172883,0
1956,0,1956,E,44,20,69,89,0
1957,0,1957,O,86573,130164,42983,173147,0
1958,0,1958,E,44,22,67,89,0
1959,0,1959,O,86706,86643,86770,173413,0
1960,0,1960,E,44,24,65,89,0
1961,0,1961,O,86839,54760,118919,173679,0
1962,0,1962,E,44,26,63,89,0
1963,0,1963,O,86972,34563,139382,173945,0
1964,0,1964,E,44,28,61,89,0
1965,0,1965,O,87105,26100,148111,174211,0
1966,0,1966,E,44,30,59,89,0
1967,0,1967,O,87238,29419,145058,174477,0
1968,0,1968,E,44,32,57,89,0
1969,0,1969,O,87371,44568,130175,174743,0
1970,0,1970,E,44,34,55,89,0
1971,0,1971,O,87504,71595,103414,175009,0
1972,0,1972,E,44,36,53,89,0
1973,0,1973,O,87637,110548,64727,175275,0
1974,0,1974,E,44,38,51,89,0
1975,0,1975,O,87770,161475,14066,175541,0
1976,0,1976,E,44,40,49,89,0
1977,0,1977,O,87904,48617,127192,175809,0
1978,0,1978,E,44,42,47,89,0
1979,0,1979,O,88037,123370,52705,176075,0
1980,0,1980,E,44,44,45,89,0
1981,0,1981,O,88171,33900,142443,176343,0
1982,0,1982,E,44,46,43,89,0
1983,0,1983,O,88304,132671,43938,176609,0
1984,0,1984,E,44,48,41,89,0
1985,0,1985,O,88438,66781,110096,176877,0
1986,0,1986,E,44,50,39,89,0
1987,0,1987,O,88572,12619,164526,177145,0
1988,0,1988,E,44,52,37,89,0
1989,0,1989,O,88705,147644,29767,177411,0
1990,0,1990,E,44,54,35,89,0
1991,0,1991,O,88839,117350,60329,177679,0
1992,0,1992,E,44,56,33,89,0
1993,0,1993,O,88973,98928,79019,177947,0
1994,0,1994,E,44,58,31,89,0
1995,0,1995,O,89107,92426,85789,178215,0
1996,0,1996,E,44,60,29,89,0
1997,0,1997,O,89241,97892,80591,178483,0
